src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
ams,0.04422,244.03666666666666,107.00333333333333,117.98666666666666,150.01,6.827833333333333,180.56333333333333,173.50666666666666,6.529966666666667,134.04,31.419,14.475,288.4066666666667,154.00666666666666,108.00333333333333,25.951999999999998,117.03,9.545466666666666,197.00666666666666,190.39,145.01333333333332,269.07,148.00666666666666,159.41,25.067333333333334,276.04333333333335,58.07233333333333,241.40333333333334,92.36366666666666,20.505333333333333
blr,244.00333333333333,0.03988333333333333,244.06666666666666,290.04,40.172333333333334,256.0466666666667,287.02666666666664,306.0233333333333,245.00666666666666,234.28571428571428,146.0,185.16333333333333,185.0,315.0133333333333,268.01,136.00333333333333,19.263666666666666,270.00666666666666,316.0,310.1066666666667,210.0,131.0,226.38,38.595,321.42,273.67957746478874,245.06666666666666,124.95,268.00333333333333,190.00666666666666
ord,107.02333333333333,244.05333333333334,0.04643333333333333,21.77466666666667,258.0,103.01,89.70533333333333,261.0,96.36533333333334,54.113,117.0,102.0,208.04333333333332,51.473,49.24733333333334,116.0,235.07333333333332,94.95400000000001,130.0,129.0,41.91733333333333,165.02666666666667,51.17733333333334,214.00666666666666,119.74,197.00333333333333,146.11333333333334,131.15333333333334,11.891666666666667,113.0
dfw,117.99666666666667,290.0,21.783,0.03484,279.14,122.08333333333333,84.33066666666667,292.18333333333334,111.00666666666666,32.85166666666667,140.99666666666667,116.0,181.05333333333334,35.672000000000004,31.246333333333332,131.00333333333333,257.00333333333333,116.53666666666666,126.20333333333333,140.0,64.62566666666666,174.00666666666666,45.397666666666666,189.1772575250836,139.0,167.0,163.88333333333333,131.76,30.170333333333332,151.2
del,150.03333333333333,40.14866666666667,258.0,279.1,0.0363,153.0,310.0,303.9866666666667,140.0,285.875,152.98,193.00333333333333,208.0,322.00666666666666,275.0366666666667,146.0,23.746333333333332,191.0,324.00333333333333,285.0,265.0,138.0,267.0,66.17699999999999,204.02666666666667,313.4577464788732,248.01666666666668,153.0,266.00333333333333,213.05333333333334
fra,6.8924666666666665,256.0366666666667,103.00666666666666,122.04666666666667,153.00333333333333,0.02903,183.0,181.6,11.496666666666666,138.01333333333332,30.937666666666665,22.010666666666665,292.07,146.0,114.27,9.4598,130.0,8.245366666666667,198.00333333333333,195.0,145.97,280.0366666666667,146.00333333333333,153.36666666666667,17.823,281.86333333333334,53.336,246.01333333333332,99.99733333333333,17.905666666666665
hnl,180.88,287.0,89.70166666666667,84.33966666666666,310.0,183.0,0.02416,352.00333333333333,175.00666666666666,54.38933333333333,190.0,180.0,199.0,97.58333333333333,112.0,192.0,285.00333333333333,175.01333333333332,190.85666666666665,216.00333333333333,65.016,183.00333333333333,47.59133333333333,222.55666666666667,197.0,195.0,245.03333333333333,150.0,100.99333333333334,197.01
jnb,173.32333333333332,306.03333333333336,261.0,292.1433333333333,304.0,181.50333333333333,352.0,0.04138666666666667,172.00333333333333,319.00333333333333,181.0,175.01,346.0833333333333,315.31666666666666,281.0,185.0,300.0233333333333,165.01333333333332,364.0,353.79,329.00666666666666,270.0,318.00333333333333,175.00333333333333,185.03333333333333,342.0366666666667,229.98333333333332,235.0,255.01333333333332,202.0
lhr,6.533066666666667,245.00666666666666,96.40133333333334,111.00666666666666,140.0,11.468333333333334,175.02333333333334,172.05666666666667,0.03598666666666667,128.96666666666667,26.903666666666666,7.7466,283.66333333333336,133.0,103.08666666666667,25.236666666666668,128.0,7.301,187.0,182.30333333333334,137.99,259.22,136.0,170.0,29.867333333333335,271.0566666666667,58.37533333333333,227.0,93.047,28.665333333333333
lax,134.04666666666665,234.25352112676057,54.14033333333334,32.863,285.38461538461536,138.05,54.39366666666667,319.0,128.95666666666668,0.036443333333333335,165.0,152.05333333333334,150.04,47.68066666666667,62.04633333333334,161.0,261.151724137931,130.24666666666667,138.05,176.73333333333332,26.11766666666667,137.58333333333334,9.368133333333333,176.1006711409396,157.38,138.07333333333332,191.12666666666667,104.00666666666666,63.76733333333333,181.36333333333334
