dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.77.139.69,6.43,6.533066666666667,6.9,0.0677686915585328,0.05732441471571902,0.0,300,300
139.84.155.115,245.0,245.00666666666666,246.0,0.08137703743822469,0.013377926421404682,0.0,300,300
64.177.8.172,96.3,96.40133333333334,96.6,0.05829427263653169,0.04749163879598744,0.0,300,300
45.76.239.179,111.0,111.00666666666666,112.0,0.08137703743822469,0.013377926421404682,0.0,300,300
139.84.168.187,140.0,140.0,140.0,0.0,0.0,0.0,300,300
136.244.83.197,11.4,11.468333333333334,11.6,0.05624845676895382,0.048829431438126916,0.0,300,300
208.72.154.188,175.0,175.02333333333334,177.0,0.1716262088247467,0.046822742474916385,0.0,300,300
139.84.236.66,172.0,172.05666666666667,187.0,0.8680181769730145,0.11371237458193979,0.0,300,300
45.76.142.129,0.019,0.03598666666666667,0.098,0.01222782982471633,0.011267558528428093,0.0,300,300
140.82.20.234,128.0,128.96666666666667,129.0,0.17950549357115014,0.06020066889632107,0.0,300,300
65.20.103.88,26.8,26.903666666666666,27.5,0.07132009222901739,0.05418060200668885,0.0,300,300
64.176.188.112,7.65,7.7466,8.02,0.050422613974287336,0.044782608695652114,0.0,300,300
67.219.106.175,283.0,283.66333333333336,288.0,0.6904024591175466,0.22408026755852842,0.0,300,300
216.238.90.206,133.0,133.0,133.0,0.0,0.0,0.0,300,300
149.28.98.105,103.0,103.08666666666667,104.0,0.28134597128012256,0.14046822742474915,0.0,300,300
66.245.204.157,25.2,25.236666666666668,25.7,0.055876848714134564,0.048829431438127686,0.0,300,300
65.20.72.84,128.0,128.0,128.0,0.0,0.0,0.0,300,300
104.238.189.232,7.16,7.301,7.5,0.057939623747483855,0.05431438127090297,0.0,300,300
64.176.19.67,187.0,187.0,187.0,0.0,0.0,0.0,300,300
216.238.108.15,182.0,182.30333333333334,183.0,0.45969796847737127,0.36789297658862874,0.0,300,300
66.42.76.68,137.0,137.99,140.0,0.25146238950056393,0.056856187290969896,0.0,300,300
158.247.202.33,259.0,259.22,261.0,0.4300387579432037,0.3311036789297659,0.0,300,300
104.207.149.234,136.0,136.0,136.0,0.0,0.0,0.0,300,300
149.28.128.150,170.0,170.0,170.0,0.0,0.0,0.0,300,300
70.34.203.31,29.6,29.867333333333335,30.1,0.14047380143246946,0.04715719063545172,0.0,300,300
104.156.232.24,271.0,271.0566666666667,273.0,0.2584354636826937,0.10702341137123746,0.0,300,300
64.177.71.153,58.1,58.37533333333333,60.3,0.21476705727110212,0.16354515050167204,0.0,300,300
45.77.129.193,227.0,227.0,227.0,0.0,0.0,0.0,300,300
149.248.63.67,92.9,93.047,95.3,0.14795607456268803,0.07257525083611865,0.0,300,300
70.34.246.15,28.6,28.665333333333333,28.8,0.06053832578531388,0.054849498327758504,0.0,300,300
