dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.77.139.69,145.0,145.2,150.0,0.496655480858378,0.06354515050167224,0.0,300,300
139.84.155.115,210.0,210.08,229.0,1.1106754701531856,0.1605351170568562,0.0,300,300
64.177.8.172,41.8,41.913,42.1,0.05413871073455742,0.04080267558528486,0.0,300,300
45.76.239.179,64.5,64.60233333333333,66.0,0.0977815024543103,0.043478260869565216,0.0,300,300
139.84.168.187,265.0,265.0,265.0,0.0,0.0,0.0,300,300
136.244.83.197,147.0,147.64,151.0,0.5571355310873648,0.47157190635451507,0.0,300,300
208.72.154.188,64.9,65.023,65.2,0.049372732015419266,0.03946488294314166,0.0,300,300
139.84.236.66,329.0,329.0,329.0,0.0,0.0,0.0,300,300
45.76.142.129,138.0,138.01333333333332,140.0,0.14079141387961916,0.026755852842809364,0.0,300,300
140.82.20.234,26.0,26.093333333333334,26.4,0.05436502143433363,0.039464882943143896,0.0,300,300
65.20.103.88,148.0,148.0,148.0,0.0,0.0,0.0,300,300
64.176.188.112,132.0,132.0,132.0,0.0,0.0,0.0,300,300
67.219.106.175,178.0,178.08666666666667,180.0,0.38186675977652496,0.0802675585284281,0.0,300,300
216.238.90.206,68.7,68.763,69.0,0.058858587592068023,0.04581939799330957,0.0,300,300
149.28.98.105,93.8,93.87233333333333,94.1,0.06165405276397108,0.0484949832775944,0.0,300,300
66.245.204.157,147.0,147.00666666666666,149.0,0.11527744310527055,0.013377926421404682,0.0,300,300
65.20.72.84,239.0,239.0,239.0,0.0,0.0,0.0,300,300
104.238.189.232,133.0,133.00333333333333,134.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.19.67,156.0,156.0,156.0,0.0,0.0,0.0,300,300
216.238.108.15,170.0,170.01,173.0,0.17291616465790582,0.020066889632107024,0.0,300,300
66.42.76.68,0.02,0.037886666666666666,0.139,0.015549720969272157,0.012879598662207357,0.0,300,300
158.247.202.33,117.0,117.03333333333333,118.0,0.17950549357115014,0.06020066889632107,0.0,300,300
104.207.149.234,18.0,18.135666666666665,18.5,0.07367420775881349,0.06387959866220683,0.0,300,300
149.28.128.150,177.0,177.0,177.0,0.0,0.0,0.0,300,300
70.34.203.31,163.0,164.39666666666668,166.0,0.9161453062818268,0.046822742474916385,0.0,300,300
104.156.232.24,168.0,168.0,168.0,0.0,0.0,0.0,300,300
64.177.71.153,180.0,180.74,183.0,0.49571497186723473,0.4080267558528428,0.0,300,300
45.77.129.193,92.8,92.914,93.1,0.058343808583258744,0.038795986622073085,0.0,300,300
149.248.63.67,53.0,53.141666666666666,53.8,0.07592027982620257,0.06588628762541847,0.0,300,300
70.34.246.15,158.0,158.99666666666667,160.0,0.09994442900376634,0.020066889632107024,0.0,300,300
