dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.77.139.69,20.4,20.492333333333335,22.3,0.13105172854852265,0.07224080267558602,0.0,300,300
139.84.155.115,190.0,190.0,190.0,0.0,0.0,0.0,300,300
64.177.8.172,113.0,113.0,113.0,0.0,0.0,0.0,300,300
45.76.239.179,151.0,151.08666666666667,152.0,0.28134597128012256,0.14381270903010032,0.0,300,300
139.84.168.187,213.0,213.01333333333332,215.0,0.14079141387961916,0.026755852842809364,0.0,300,300
136.244.83.197,17.8,17.875666666666667,18.1,0.05693173299858478,0.04147157190635399,0.0,300,300
208.72.154.188,197.0,197.0,197.0,0.0,0.0,0.0,300,300
139.84.236.66,202.0,202.0,202.0,0.0,0.0,0.0,300,300
45.76.142.129,28.5,28.62,28.8,0.05228129047119311,0.037123745819397536,0.0,300,300
140.82.20.234,181.0,181.19333333333333,182.0,0.3949120858565303,0.2608695652173913,0.0,300,300
65.20.103.88,46.4,46.47966666666667,46.7,0.0549535157099978,0.04782608695652242,0.0,300,300
64.176.188.112,33.7,33.74133333333334,34.0,0.060207050159334495,0.05217391304347596,0.0,300,300
67.219.106.175,294.0,294.00666666666666,295.0,0.08137703743822469,0.013377926421404682,0.0,300,300
216.238.90.206,169.0,169.02333333333334,170.0,0.15095989165632337,0.046822742474916385,0.0,300,300
149.28.98.105,138.0,138.01333333333332,139.0,0.11469767022723502,0.026755852842809364,0.0,300,300
66.245.204.157,26.4,26.416666666666664,26.5,0.037267799624997024,0.01672240802675609,0.0,300,300
65.20.72.84,188.0,188.93666666666667,189.0,0.24356153682842088,0.11371237458193979,0.0,300,300
104.238.189.232,26.7,26.836,27.0,0.06248199740725256,0.04615384615384562,0.0,300,300
64.176.19.67,222.0,222.0,222.0,0.0,0.0,0.0,300,300
216.238.108.15,209.0,209.0,209.0,0.0,0.0,0.0,300,300
66.42.76.68,158.0,158.98666666666668,159.0,0.11469767022723502,0.026755852842809364,0.0,300,300
158.247.202.33,252.0,252.75,253.0,0.4330127018922193,0.3377926421404682,0.0,300,300
104.207.149.234,151.0,151.24,155.0,0.4786090958879351,0.3511705685618729,0.0,300,300
149.28.128.150,170.0,170.99,171.0,0.099498743710662,0.020066889632107024,0.0,300,300
70.34.203.31,29.7,29.813333333333333,30.0,0.04027681991198134,0.02240802675585253,0.0,300,300
104.156.232.24,293.0,293.00333333333333,294.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.177.71.153,72.7,72.97666666666667,77.1,0.2886558889442958,0.14816053511705513,0.0,300,300
45.77.129.193,263.0,263.0,263.0,0.0,0.0,0.0,300,300
149.248.63.67,129.0,129.0,129.0,0.0,0.0,0.0,300,300
70.34.246.15,0.012,0.02325,0.089,0.010245039450062325,0.007521739130434782,0.0,300,300
