src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto
ams,0.04286,245.09,107.00333333333333,116.01003344481606,139.0,6.482066666666666,180.76333333333332,174.08,6.5981,134.26666666666668,31.299666666666667,14.510666666666667,287.03,154.0,107.89666666666666,26.03366666666667,139.24666666666667,231.03333333333333,9.6619,198.0,186.0,145.00333333333333,280.01666666666665,147.95666666666668,159.02,25.058333333333334,276.2966666666667,66.466,248.53666666666666,92.98566666666667
blr,245.23333333333332,0.03604,259.01666666666665,289.02666666666664,38.57566666666667,249.39,302.00333333333333,301.00666666666666,240.07,243.25862068965517,146.87333333333333,185.04333333333332,187.00666666666666,314.00333333333333,283.0133333333333,137.01,19.220333333333333,114.46333333333334,285.01,315.01,319.52,209.93,120.71666666666667,226.00666666666666,40.82666666666667,326.04,316.193661971831,242.0,112.00666666666666,267.9866666666667
ord,107.0,259.0833333333333,0.04445333333333333,21.825,257.0,105.16,89.73033333333333,265.08,94.68266666666666,54.160333333333334,117.00333333333333,92.59833333333333,208.0,49.881,49.415,116.0,237.0,160.01,98.19566666666667,129.05,129.04333333333332,42.42033333333333,170.08333333333334,51.16466666666667,206.39333333333335,123.64,197.0,150.21333333333334,134.04333333333332,11.922333333333334
dfw,116.01,289.0566666666667,21.848666666666666,0.03353,275.0366666666667,121.94333333333333,84.39333333333333,292.22,113.00666666666666,32.946,146.00666666666666,116.00666666666666,181.00666666666666,35.730000000000004,29.861,135.00333333333333,261.0,147.10333333333332,111.99333333333334,126.12666666666667,134.0,62.304,175.27666666666667,44.371,199.79333333333332,139.0,167.0,169.99666666666667,131.02333333333334,31.338
del,139.00333333333333,38.60433333333334,257.00333333333333,275.0200668896321,0.03264,156.40333333333334,310.0,304.0,142.00333333333333,290.06028368794324,162.00333333333333,193.0,206.0,321.0,278.1166666666667,145.50333333333333,23.766666666666666,153.11666666666667,190.01333333333332,324.00333333333333,289.91,269.98,152.0,257.0233333333333,68.736,218.0,318.27972027972027,252.05333333333334,144.12666666666667,266.0
fra,6.513866666666667,249.56333333333333,105.24333333333334,121.96,156.49,0.03456,183.01,195.05666666666667,11.522666666666666,140.05,31.241,22.014715719063545,292.0366666666667,145.01,113.3,9.382333333333333,131.0,238.48,9.0438,198.0,193.03666666666666,148.4,283.0,148.02333333333334,158.00333333333333,17.795666666666666,281.38666666666666,56.328428093645485,243.06,100.27266666666667
hnl,180.55666666666667,302.02,89.75166666666667,84.37233333333333,310.0133333333333,183.01,0.023753333333333335,357.0733333333333,175.00333333333333,54.422,190.02333333333334,180.0,199.00333333333333,97.90366666666667,112.0,192.0,285.0566666666667,152.0,175.00333333333333,190.0,216.0,64.573,188.73333333333332,47.552,222.10333333333332,197.03333333333333,195.0,246.02,150.0,101.0
jnb,174.00666666666666,301.02666666666664,265.0,292.28333333333336,303.99666666666667,195.03666666666666,357.0466666666667,0.04137333333333333,172.0,322.00333333333333,181.0,177.12333333333333,346.04333333333335,313.00666666666666,285.1666666666667,184.0,276.6,247.45,165.01666666666668,364.0,355.0566666666667,323.02666666666664,254.95333333333335,318.01,175.04,185.0,342.06333333333333,230.15333333333334,233.03,253.31
lhr,6.609966666666667,240.07666666666665,94.68266666666666,113.00666666666666,142.05,11.534666666666666,175.00333333333333,172.0,0.033273333333333335,129.09333333333333,29.996,7.217033333333333,281.91,134.06,104.16,25.258666666666667,118.01666666666667,228.06333333333333,6.731833333333333,187.03666666666666,182.00666666666666,137.93666666666667,267.0566666666667,137.00333333333333,180.01,29.285333333333334,271.01666666666665,62.07666666666667,227.04666666666665,94.65333333333334
lax,134.18,242.88771929824563,54.167,32.94,290.2105263157895,140.02666666666667,54.439,322.00333333333333,129.12333333333333,0.031803333333333336,165.00666666666666,157.99333333333334,150.0,47.723333333333336,60.364333333333335,182.68666666666667,258.32374100719426,103.0,131.00666666666666,137.25666666666666,176.08666666666667,26.249,132.88333333333333,9.364366666666667,169.03666666666666,156.33,138.19666666666666,197.02333333333334,99.367,64.83866666666667
