dst,min,avg,max,stddev,jitter,loss_pct,sent,received
95.179.191.101,6.34,6.513866666666667,11.1,0.3776131824440926,0.13043478260869565,0.0,300,300
139.84.130.162,249.0,249.56333333333333,260.0,0.9269963442334723,0.5351170568561873,0.0,300,300
64.177.8.161,105.0,105.24333333333334,106.0,0.42909465415246345,0.31438127090301005,0.0,300,300
207.148.4.80,121.0,121.96,129.0,0.6570641774844626,0.15384615384615385,0.0,300,300
139.84.175.27,156.0,156.49,157.0,0.4998999899979995,0.431438127090301,0.0,300,300
80.240.21.111,0.017,0.03456,0.845,0.048085130064639874,0.014635451505016722,0.0,300,300
208.83.234.171,183.0,183.01,184.0,0.099498743710662,0.006688963210702341,0.0,300,300
139.84.243.66,195.0,195.05666666666667,196.0,0.23120457511813117,0.10702341137123746,0.0,300,300
104.238.185.40,11.4,11.522666666666666,12.3,0.10240225691957286,0.07491638795986608,0.0,300,300
45.76.169.69,140.0,140.05,144.0,0.3378855822118882,0.10033444816053512,0.0,300,300
65.20.101.216,31.1,31.241,32.1,0.10902140462618645,0.0735785953177258,0.0,300,300
64.176.190.129,21.9,22.014715719063545,23.0,0.1093497172192098,0.056711409395973626,0.3333333333333333,300,299
139.84.201.146,292.0,292.0366666666667,298.0,0.367861688984083,0.07357859531772576,0.0,300,300
216.238.95.134,145.0,145.01,146.0,0.099498743710662,0.020066889632107024,0.0,300,300
207.246.78.209,113.0,113.3,121.0,1.063014581273465,0.5284280936454849,0.0,300,300
66.245.204.233,9.28,9.382333333333333,10.4,0.10109016877136086,0.06622073578595317,0.0,300,300
65.20.66.14,131.0,131.0,131.0,0.0,0.0,0.0,300,300
64.176.55.242,238.0,238.48,239.0,0.49959983987187184,0.3377926421404682,0.0,300,300
217.69.2.106,8.93,9.0438,9.25,0.05661177733770007,0.05247491638795978,0.0,300,300
64.176.21.68,198.0,198.0,198.0,0.0,0.0,0.0,300,300
216.238.123.60,192.0,193.03666666666666,202.0,0.5372667452537478,0.08695652173913043,0.0,300,300
144.202.89.218,148.0,148.4,151.0,0.8041558721209879,0.020066889632107024,0.0,300,300
141.164.58.189,283.0,283.0,283.0,0.0,0.0,0.0,300,300
45.77.6.246,148.0,148.02333333333334,155.0,0.4034710508684469,0.046822742474916385,0.0,300,300
139.180.145.186,158.0,158.00333333333333,159.0,0.057638721552635275,0.006688963210702341,0.0,300,300
70.34.200.251,17.7,17.795666666666666,18.0,0.05728195372211227,0.04481605351170554,0.0,300,300
139.180.168.220,281.0,281.38666666666666,288.0,0.6248911016240261,0.2040133779264214,0.0,300,300
64.176.163.9,55.9,56.328428093645485,57.1,0.1948188525212677,0.20167785234899244,0.3333333333333333,300,299
104.238.151.234,243.0,243.06,244.0,0.23748684174075835,0.10367892976588629,0.0,300,300
155.138.141.41,98.4,100.27266666666667,104.0,2.1891519413284732,0.06488294314381102,0.0,300,300
