dst,min,avg,max,stddev,jitter,loss_pct,sent,received
95.179.191.101,107.0,107.0,107.0,0.0,0.0,0.0,300,300
139.84.130.162,259.0,259.0833333333333,271.0,0.9035424112286533,0.16722408026755853,0.0,300,300
64.177.8.161,0.02,0.04445333333333333,0.148,0.019013534360788602,0.017862876254180603,0.0,300,300
207.148.4.80,21.7,21.825,23.0,0.12386148177164134,0.06889632107023386,0.0,300,300
139.84.175.27,257.0,257.0,257.0,0.0,0.0,0.0,300,300
80.240.21.111,105.0,105.16,106.0,0.3666060555964672,0.25752508361204013,0.0,300,300
208.83.234.171,89.6,89.73033333333333,89.9,0.05013204785585785,0.03846153846153685,0.0,300,300
139.84.243.66,265.0,265.08,289.0,1.3833293172632466,0.1605351170568562,0.0,300,300
104.238.185.40,94.6,94.68266666666666,94.8,0.05567365225630348,0.05250836120401572,0.0,300,300
45.76.169.69,54.0,54.160333333333334,54.4,0.0631919474476155,0.05351170568561863,0.0,300,300
65.20.101.216,117.0,117.00333333333333,118.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.190.129,92.5,92.59833333333333,92.9,0.0608047878231829,0.048829431438127735,0.0,300,300
139.84.201.146,208.0,208.0,208.0,0.0,0.0,0.0,300,300
216.238.95.134,49.8,49.881,50.3,0.0658710862214986,0.054515050167224806,0.0,300,300
207.246.78.209,49.1,49.415,57.8,0.7400957145306722,0.26387959866220606,0.0,300,300
66.245.204.233,116.0,116.0,116.0,0.0,0.0,0.0,300,300
65.20.66.14,237.0,237.0,237.0,0.0,0.0,0.0,300,300
64.176.55.242,160.0,160.01,163.0,0.17291616465790582,0.020066889632107024,0.0,300,300
217.69.2.106,98.1,98.19566666666667,98.4,0.06388444428984567,0.052173913043479334,0.0,300,300
64.176.21.68,129.0,129.05,130.0,0.21794494717703367,0.08695652173913043,0.0,300,300
216.238.123.60,129.0,129.04333333333332,142.0,0.7493033801842586,0.08695652173913043,0.0,300,300
144.202.89.218,42.3,42.42033333333333,42.6,0.06796976451988795,0.05183946488294388,0.0,300,300
141.164.58.189,170.0,170.08333333333334,172.0,0.2881936077631764,0.13377926421404682,0.0,300,300
45.77.6.246,51.0,51.16466666666667,51.4,0.061791765003293204,0.052173913043478196,0.0,300,300
139.180.145.186,206.0,206.39333333333335,208.0,0.4952664827028868,0.25752508361204013,0.0,300,300
70.34.200.251,123.0,123.64,125.0,0.48689492364027237,0.010033444816053512,0.0,300,300
139.180.168.220,197.0,197.0,197.0,0.0,0.0,0.0,300,300
64.176.163.9,150.0,150.21333333333334,151.0,0.4096611065529924,0.3277591973244147,0.0,300,300
104.238.151.234,134.0,134.04333333333332,142.0,0.5429446462475608,0.08695652173913043,0.0,300,300
155.138.141.41,11.8,11.922333333333334,14.9,0.18761988759782952,0.08795986622073554,0.0,300,300
