src,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
ams,0.03890333333333333,243.02,125.01,9.5079,138.0,118.0,6.6595,180.82666666666665,269.0366666666667,173.52333333333334,132.3,6.5191333333333334,31.358333333333334,14.489666666666666,288.2033333333333,159.73,109.13333333333334,26.036,232.29,104.01,186.00666666666666,198.00333333333333,150.0,167.0,147.98666666666668,275.03,59.56133333333334,96.889
blr,243.09,0.03880666666666667,15.668333333333333,282.05,40.129000000000005,289.00666666666666,253.10333333333332,283.7366666666667,106.06333333333333,306.99333333333334,246.33333333333334,241.07333333333332,150.10333333333332,170.01666666666668,187.04666666666665,289.01,287.0566666666667,136.99333333333334,113.01666666666667,258.03,317.00333333333333,316.00333333333333,210.03,40.858333333333334,211.19666666666666,275.22939068100357,243.04666666666665,278.01
bom,125.02,15.658999999999999,0.03756,163.47333333333333,23.672,256.01666666666665,130.01666666666668,287.0,118.0,280.02,260.40425531914894,136.84,130.00333333333333,169.0,182.0,275.0,259.0133333333333,123.0,128.0,237.00666666666666,265.04,299.96,246.0,55.202333333333335,241.02,299.28985507246375,230.00666666666666,245.0
cdg,9.479366666666667,282.02666666666664,163.82333333333332,0.04076333333333333,191.03,114.1,9.050133333333333,175.06666666666666,272.88,165.04682274247492,133.09,6.9349,20.771,14.294666666666666,285.03678929765886,148.06333333333333,104.10666666666667,17.279666666666667,238.05666666666667,95.022,183.02,214.06,139.04,154.0066889632107,138.05016722408027,271.04333333333335,57.699665551839466,91.11633333333333
del,138.0,40.157000000000004,23.677,191.02333333333334,0.024143333333333333,274.0,154.0,308.03,145.99,302.00333333333333,270.4193548387097,142.0,153.01,193.00666666666666,208.01,297.0466666666667,278.01,146.00666666666666,141.01,256.13666666666666,286.04333333333335,322.11,259.07,77.62833333333333,255.01666666666668,322.6620209059233,248.0,268.01
dfw,117.95,289.0,256.00666666666666,114.10666666666667,274.0,0.04034,122.88333333333334,84.438,164.00666666666666,292.0966666666667,32.894666666666666,110.00333333333333,135.0,126.00333333333333,181.03,35.68233333333333,29.772,131.0,136.0,21.861666666666665,139.89666666666668,127.0,64.831,195.50666666666666,45.344,167.0,168.01,31.341666666666665
fra,6.6824,253.08666666666667,130.02,9.1074,154.0,122.86,0.03406666666666667,183.00666666666666,278.07666666666665,183.00666666666666,138.06333333333333,11.866,30.955,22.086666666666666,293.3066666666667,152.0,113.06333333333333,9.633866666666666,243.04333333333332,107.87666666666667,196.92,198.0,147.04,153.0,144.19333333333333,281.85333333333335,51.364666666666665,96.188
hnl,180.76333333333332,283.8333333333333,287.0,175.10333333333332,308.00333333333333,84.41166666666668,183.00333333333333,0.03349,183.15,354.00666666666666,54.40266666666667,175.01333333333332,190.00666666666666,180.0,199.00333333333333,106.0,112.01666666666667,192.0,150.0,89.77533333333334,216.04333333333332,225.0,64.83433333333333,225.0,47.54933333333334,187.01333333333332,250.05,101.0
icn,269.0366666666667,106.01,118.0,272.7266666666667,145.97666666666666,164.00333333333333,278.0833333333333,183.21666666666667,0.043546666666666664,273.0133333333333,137.0,261.04333333333335,259.00666666666666,244.0,154.0,170.0,195.02,247.62333333333333,31.374666666666666,159.00666666666666,310.7033333333333,280.97,123.0,109.10333333333334,137.00333333333333,143.00333333333333,306.0,173.0
jnb,173.48333333333332,306.9766666666667,280.03333333333336,165.06333333333333,302.0,292.1433333333333,183.0,354.01666666666665,273.0,0.03705666666666667,325.00333333333333,173.0,181.0,176.00666666666666,338.0233333333333,314.0833333333333,283.92333333333335,186.0,233.0,260.13666666666666,354.0966666666667,365.00333333333333,312.00666666666666,175.0,318.01,324.0233333333333,230.04,255.0
