src,atl,ewr,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
atl,0.05125,20.604333333333333,96.095,253.03,243.00666666666666,91.928,264.03333333333336,16.022333333333332,101.18333333333334,98.779,180.93333333333334,276.49,48.39066666666667,90.015,117.44666666666667,108.00666666666666,49.94733333333333,12.989,120.99333333333334,147.00333333333333,33.517,123.01333333333334,114.08333333333333,74.531,236.67,60.971333333333334,191.03,167.99666666666667,42.99666666666667
ewr,20.647333333333332,0.04468333333333333,80.77433333333333,260.01,245.0,72.23433333333334,272.0366666666667,37.928,82.563,106.0,181.0,251.0,58.120000000000005,72.36833333333334,91.26,82.33433333333333,65.44500000000001,32.803,92.43900000000001,147.59333333333333,18.588,108.0,122.00333333333333,57.201,233.05,67.335,201.00666666666666,139.01333333333332,20.134333333333334
ams,96.11,80.76933333333334,0.03901333333333333,244.10333333333332,130.03,9.49247491638796,148.17333333333335,116.04,6.618033333333333,180.34333333333333,275.53333333333336,173.91333333333333,134.02666666666667,6.593233333333333,31.737,14.467333333333334,159.07666666666665,107.05,28.252666666666666,236.48666666666668,107.02333333333333,188.06,198.09666666666666,150.04333333333332,168.07,145.96333333333334,276.14,62.690333333333335,95.1551839464883
blr,253.02666666666667,260.0,244.10333333333332,0.036923333333333336,15.728,287.09,38.63733333333334,273.03333333333336,247.89,302.0,121.0,302.0466666666667,246.4561403508772,240.00666666666666,150.45,185.14666666666668,290.02666666666664,267.00666666666666,140.03666666666666,113.15,243.00666666666666,310.13666666666666,315.0,232.92333333333335,39.323,227.0,273.9148936170213,247.13666666666666,270.0
bom,243.03333333333333,245.0,130.07666666666665,15.732333333333333,0.02526,165.07333333333332,23.587,260.00333333333333,131.01666666666668,287.0233333333333,120.00333333333333,282.0,263.5412186379928,115.18,128.0,169.00333333333333,274.0,259.01666666666665,121.0,135.0,236.8,262.12,301.03333333333336,238.0,59.378,239.7,284.773851590106,229.06,246.23
cdg,91.93233333333333,72.22966666666666,9.4769,287.11333333333334,165.13,0.04114,193.66666666666666,114.92976588628763,9.9512,175.13333333333333,267.9933110367893,165.11,129.09698996655518,7.690666666666667,22.995666666666665,14.254,150.03666666666666,106.02666666666667,17.314333333333334,239.0,97.93066666666667,183.00666666666666,214.00333333333333,137.0,153.46666666666667,138.00333333333333,272.4266666666667,51.936,90.71033333333334
del,263.99,272.01666666666665,148.16333333333333,38.60766666666667,23.569333333333333,193.62,0.035603333333333334,292.00333333333333,155.99666666666667,310.0,141.00666666666666,304.62666666666667,278.06315789473683,143.0,154.97666666666666,193.11666666666667,297.0,280.75,146.03666666666666,142.01333333333332,258.03333333333336,290.02,320.0466666666667,264.0,68.781,254.00333333333333,313.03484320557493,252.01,278.0
dfw,16.049,37.916333333333334,116.06333333333333,273.0233333333333,260.0566666666667,114.95,292.0,0.033196666666666666,122.11666666666666,84.36633333333333,165.0,292.2966666666667,32.925333333333334,113.00333333333333,144.0,116.0,28.576,28.037666666666667,135.01333333333332,136.0,21.90233333333333,147.16,130.01333333333332,64.45733333333334,189.30434782608697,47.913,167.04333333333332,174.99,30.191333333333333
fra,101.16,82.54633333333334,6.6433333333333335,247.85,131.0,9.952709030100335,156.0,122.07,0.04115,183.0,272.06,195.06666666666666,138.12666666666667,10.905666666666667,30.92533333333333,21.995666666666665,149.00333333333333,113.51666666666667,9.466066666666666,243.35666666666665,105.63,193.0,198.09333333333333,145.99333333333334,153.05,146.47333333333333,281.02,55.54366666666667,100.05666666666667
hnl,98.76033333333334,106.0,180.38666666666666,302.00666666666666,287.00333333333333,175.12333333333333,310.10333333333335,84.357,183.00333333333333,0.030896666666666666,183.01,353.53333333333336,54.458666666666666,175.02666666666667,190.00666666666666,180.0,106.01666666666667,112.00666666666666,192.0,150.0,89.77833333333334,216.01333333333332,191.01666666666668,65.09766666666667,222.67333333333335,47.583666666666666,187.21,250.03,101.0
icn,180.95,181.0,275.48,121.01,120.0,267.9866666666667,141.04666666666665,165.00666666666666,272.0933333333333,183.0,0.05510333333333333,270.0,138.00333333333333,266.01666666666665,272.0133333333333,254.30333333333334,168.96333333333334,204.01666666666668,261.0233333333333,31.463,170.58,304.49,339.84300341296927,122.53333333333333,91.554,141.08666666666667,143.09333333333333,304.52,174.17333333333335
jnb,276.54333333333335,251.0,174.01666666666668,302.03333333333336,282.0,165.09333333333333,304.73333333333335,292.2133333333333,195.15333333333334,353.62333333333333,270.0,0.04579333333333333,319.0733333333333,173.01,181.04666666666665,177.03666666666666,314.00666666666666,281.01,185.09,243.03,260.06666666666666,345.00666666666666,363.3666666666667,336.10333333333335,175.06,318.0,324.13,230.05666666666667,253.00333333333333
lax,48.39033333333333,58.123000000000005,134.04666666666665,246.34965034965035,264.0173611111111,129.11,278.0,32.938,138.12333333333333,54.459666666666664,138.0,319.03333333333336,0.035386666666666663,130.01,168.00333333333333,146.01003344481606,51.792,62.23533333333334,172.00333333333333,98.18733333333333,54.226,178.03,139.0,24.825,165.26333333333332,8.1959,138.60666666666665,199.08666666666667,64.873
lhr,89.998,72.37,6.622333333333334,240.00333333333333,115.36,7.716622073578596,143.0,113.01666666666667,10.906666666666666,175.02333333333334,266.00333333333333,173.00333333333333,130.00666666666666,0.03673333333333333,29.377666666666666,7.780966666666667,134.95666666666668,102.1,25.396666666666665,226.27333333333334,96.18366666666667,186.00333333333333,191.00333333333333,137.98333333333332,171.03,136.04,272.03,64.487,92.52466666666666
mad,117.65666666666667,91.25633333333333,31.735333333333333,150.45333333333335,128.0,23.026421404682274,154.99333333333334,144.0,30.913,190.0,272.0,181.03666666666666,168.00333333333333,29.368333333333332,0.034743333333333334,38.035666666666664,168.00333333333333,129.44,21.317,251.00333333333333,123.71333333333334,205.00333333333333,224.18,147.23666666666668,162.11333333333334,144.23333333333332,275.1533333333333,61.518,132.18
man,108.0,82.332,14.464333333333334,185.09333333333333,169.0,14.248333333333333,193.12,116.00333333333333,21.985666666666667,180.0,254.28333333333333,177.00666666666666,146.0,7.7673,38.019,0.020796666666666668,154.91666666666666,107.88,30.189333333333334,245.0,92.62633333333333,189.24333333333334,216.01666666666668,132.0,169.09333333333333,134.0,262.02,68.79366666666667,102.03333333333333
mex,49.91266666666667,65.39566666666667,159.02333333333334,290.1,274.0,150.05333333333334,297.07,28.556,149.0,106.00666666666666,168.77,314.06666666666666,51.77333333333333,134.9,168.0,154.78333333333333,0.03712666666666667,72.816,166.0,160.0,43.666333333333334,156.78,179.01666666666668,79.53399999999999,215.04,48.31666666666666,188.59666666666666,200.34333333333333,54.013
