dst,min,avg,max,stddev,jitter,loss_pct,sent,received
155.138.203.127,108.0,108.0,108.0,0.0,0.0,0.0,300,300
45.77.204.64,82.2,82.332,85.0,0.16565828281938375,0.06755852842809588,0.0,300,300
95.179.145.180,14.4,14.464333333333334,15.0,0.06553285859441454,0.04581939799331088,0.0,300,300
139.84.222.221,185.0,185.09333333333333,186.0,0.29089898972361905,0.1605351170568562,0.0,300,300
65.20.77.188,169.0,169.0,169.0,0.0,0.0,0.0,300,300
45.76.46.252,14.1,14.248333333333333,15.3,0.1804546726712527,0.12642140468227445,0.0,300,300
139.84.177.189,193.0,193.12,213.0,1.1714378629132092,0.22408026755852842,0.0,300,300
207.148.4.82,116.0,116.00333333333333,117.0,0.057638721552635275,0.006688963210702341,0.0,300,300
136.244.93.25,21.9,21.985666666666667,24.4,0.150868228007829,0.06555183946488359,0.0,300,300
208.83.238.217,180.0,180.0,180.0,0.0,0.0,0.0,300,300
158.247.192.255,254.0,254.28333333333333,255.0,0.4506168611531925,0.38127090301003347,0.0,300,300
139.84.251.114,177.0,177.00666666666666,178.0,0.08137703743822469,0.013377926421404682,0.0,300,300
45.77.86.122,146.0,146.0,146.0,0.0,0.0,0.0,300,300
192.248.147.141,7.67,7.7673,7.95,0.04633619895215111,0.04441471571906351,0.0,300,300
65.20.109.195,37.9,38.019,38.5,0.06059977997759905,0.04247491638796042,0.0,300,300
64.176.179.41,0.01,0.020796666666666668,0.057,0.007775302066300847,0.0071304347826086955,0.0,300,300
64.177.86.149,154.0,154.91666666666666,155.0,0.2763853991962833,0.16722408026755853,0.0,300,300
144.202.43.98,107.0,107.88,112.0,0.41505019776729013,0.2408026755852843,0.0,300,300
66.245.205.191,30.1,30.189333333333334,30.3,0.03295788558482145,0.020066889632106642,0.0,300,300
198.13.56.36,245.0,245.0,245.0,0.0,0.0,0.0,300,300
64.177.9.204,92.5,92.62633333333333,95.1,0.17245256996893105,0.0839464882943147,0.0,300,300
216.128.169.45,189.0,189.24333333333334,213.0,2.179630447779827,0.4882943143812709,0.0,300,300
64.176.24.34,216.0,216.01666666666668,217.0,0.12801909579781012,0.026755852842809364,0.0,300,300
66.42.77.233,132.0,132.0,132.0,0.0,0.0,0.0,300,300
45.32.114.150,169.0,169.09333333333333,173.0,0.4945929864264375,0.1605351170568562,0.0,300,300
45.77.0.183,134.0,134.0,134.0,0.0,0.0,0.0,300,300
45.32.190.157,262.0,262.02,265.0,0.21509687739868905,0.04013377926421405,0.0,300,300
64.176.164.122,68.5,68.79366666666667,73.8,0.3651390906977174,0.18628762541806182,0.0,300,300
149.248.50.153,102.0,102.03333333333333,103.0,0.17950549357115014,0.06688963210702341,0.0,300,300
