src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.04937,96.89733333333334,244.00666666666666,108.09,117.73666666666666,142.00666666666666,6.7579666666666665,180.01,166.01333333333332,6.705566666666667,133.71,31.334,14.497,287.03,161.0,108.00333333333333,25.878333333333334,117.0,81.221,230.0,9.67,197.27,190.0,137.0,259.00666666666666,147.21333333333334,159.05,25.028333333333332,276.0,61.82408026755853
atl,96.863,0.03506666666666667,280.82666666666665,34.343666666666664,16.089000000000002,266.00333333333333,101.98,98.76033333333334,247.00666666666666,92.52,48.361333333333334,120.00333333333333,104.02,202.01666666666668,51.518,12.911333333333333,109.0,245.00333333333333,20.735666666666667,153.0,92.881,115.0,117.06333333333333,74.54333333333334,189.01666666666668,60.900999999999996,250.23666666666668,120.01333333333334,191.00333333333333,158.02
blr,244.0,280.76666666666665,0.026646666666666666,240.06666666666666,276.01666666666665,41.983333333333334,257.00666666666666,289.0,298.0,238.96,245.20143884892087,156.53666666666666,172.0,173.00666666666666,292.0,266.01666666666665,148.00333333333333,21.213666666666665,261.93666666666667,133.135593220339,284.0,318.01666666666665,311.0933333333333,212.02666666666667,123.00666666666666,210.11666666666667,57.918,324.0133333333333,278.9820788530466,231.00334448160535
ord,107.92333333333333,34.364333333333335,240.02333333333334,0.044776666666666666,21.849666666666668,258.00333333333333,102.0,89.74266666666666,258.02,95.25166666666667,54.111000000000004,134.0,92.60933333333332,208.0,43.611333333333334,50.94466666666666,116.00666666666666,234.00333333333333,18.620333333333335,158.46333333333334,95.734,133.0,129.0,42.353,165.00333333333333,51.193333333333335,208.84,125.0,197.0,147.0066889632107
dfw,117.8,16.095666666666666,276.0566666666667,21.845666666666666,0.03238,285.00666666666666,121.55,84.35333333333334,292.11333333333334,112.08333333333333,32.87833333333333,141.02666666666667,116.02333333333333,181.0,28.556,29.727333333333334,134.08,265.00666666666666,38.03066666666667,142.0,116.99,130.0,147.22,64.66633333333333,163.00333333333333,45.507333333333335,200.08,141.32666666666665,167.0,169.02341137123747
del,142.0,266.0,42.01166666666666,258.00666666666666,285.03,0.02144,151.15333333333334,308.0,296.0,145.01,298.5836298932384,153.00666666666666,193.0,208.04,297.5933333333333,280.06666666666666,147.04,23.637,270.82666666666665,153.0,190.02,323.0,287.0,261.0,141.01,262.0,91.23866666666666,220.02,320.40287769784175,248.07666666666665
fra,6.761933333333333,101.99333333333334,257.0,102.01,121.60666666666667,151.09666666666666,0.03237333333333333,183.00333333333333,195.0,12.364333333333335,138.00333333333333,31.015333333333334,22.045666666666666,292.0,151.01,114.00333333333333,9.4619,131.00666666666666,78.46833333333333,227.00666666666666,9.039066666666667,198.10666666666665,192.02333333333334,138.48,280.0,143.03,153.64333333333335,17.822666666666667,281.8233333333333,54.093666666666664
hnl,180.00666666666666,98.78266666666667,289.00333333333333,89.75,84.353,308.0,183.00333333333333,0.023163333333333334,338.0,174.00333333333333,54.40833333333333,190.0,180.0,199.0,106.0,112.00333333333333,192.0,287.00666666666666,106.10333333333334,151.0,175.0,190.29666666666665,216.08333333333334,66.25666666666666,183.99,47.51133333333333,225.05,197.00333333333333,194.10666666666665,241.03
jnb,166.01666666666668,247.00333333333333,298.0,258.01666666666665,292.1066666666667,296.03,195.0,338.00333333333333,0.02616,160.0,321.0,181.00666666666666,165.0,345.0,313.0,284.0133333333333,185.00333333333333,279.0,251.10333333333332,248.30333333333334,166.0,364.06,334.0,312.00666666666666,260.6,318.0133333333333,175.04333333333332,185.0,341.3433333333333,230.01
lhr,6.676466666666666,92.542,238.97,95.27633333333333,112.15666666666667,145.0,12.373333333333333,174.0,160.0,0.02796,130.0,30.512666666666668,7.838066666666666,283.5466666666667,135.0,103.08333333333333,24.188,128.0,71.516,238.98,6.9462,186.0,186.07666666666665,129.0,270.01,136.0,173.57333333333332,29.211,270.57,58.205333333333336
