src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.007648829431438128,0.0712374581939794,0.12709030100334448,0.013377926421404682,0.06020066889632107,0.013377926421404682,0.06418060200668904,0.38461538461538464,0.026755852842809364,0.05605351170568566,0.06688963210702341,0.05351170568561894,0.03612040133779251,0.20735785953177258,0.11371237458193979,0.038127090301003676,0.12040133779264214,0.05585284280936185,0.18729096989966554,0.046220735785953204,0.09364548494983277,0.3210702341137124,0.0,0.06020066889632107,0.013377926421404682,0.05351170568561873,0.03444816053511748,0.10033444816053512,0.11103678929765982
atl,0.06488294314381292,0.011207357859531773,0.0,0.05016722408026813,0.02909698996655542,0.0,0.020066889632107024,0.037792642140467125,0.006688963210702341,0.09565217391304341,0.21070234113712427,0.34448160535117056,0.06454849498327639,0.0,0.0421404682274246,0.15719063545150502,0.33444816053511706,0.09264214046822808,0.0,0.07290969899665613,0.14046822742474915,0.2809364548494983,0.036120401337791826,0.013377926421404682,0.04180602006688982,0.026755852842809364,0.06354515050167224,0.0,0.06020066889632107
blr,0.12040133779264214,0.0,0.017638795986622074,0.9096989966555183,0.13377926421404682,0.04949832775919774,0.006688963210702341,0.0,0.0,0.0,9.389285714285714,0.23411371237458195,0.10033444816053512,0.0,0.033444816053511704,0.05351170568561873,0.1454849498327761,0.12040133779264214,0.30434782608695654,0.3177257525083612,0.22742474916387959,0.2608695652173913,0.18729096989966554,0.33444816053511706,0.20735785953177258,0.10668896321070309,0.2608695652173913,10.21146953405018,0.35451505016722407
ord,0.006688963210702341,0.04214046822742535,0.7859531772575251,0.015618729096989966,0.054515050167224285,0.18729096989966554,0.046822742474916385,0.05150501672240686,0.006688963210702341,0.05886287625418263,0.07424749163879618,0.006688963210702341,0.055852842809363513,0.0,0.07926421404682345,0.0,0.35451505016722407,0.06755852842809415,0.006688963210702341,0.04983277591973422,0.013377926421404682,0.026755852842809364,0.07591973244147136,0.05351170568561873,0.0615384615384617,0.006688963210702341,0.10033444816053512,0.020066889632107024,0.033444816053511704
dfw,0.0,0.03712374581939825,0.0,0.04280936454849502,0.009508361204013377,0.026755852842809364,0.016722408026755852,0.0471571906354532,0.18729096989966554,0.27424749163879597,0.0612040133779271,0.020066889632107024,0.19463087248322147,0.0,0.05886287625418071,0.0,0.0033444816053511705,0.038795986622074084,0.013377926421404682,0.05351170568561873,0.013377926421404682,0.033444816053511704,0.060535117056853695,0.04013377926421405,0.05752508361204062,0.4966442953020134,0.06020066889632107,0.020066889632107024,0.451505016722408
del,0.046822742474916385,0.0,0.055183946488294625,0.11371237458193979,0.016722408026755852,0.013464882943143812,0.2408026755852843,0.0,0.0,0.013377926421404682,9.425531914893616,0.04013377926421405,0.3712374581939799,0.0,0.006688963210702341,0.0,0.08060200668896289,0.006688963210702341,0.7926421404682275,0.0,0.033444816053511704,0.046822742474916385,0.006688963210702341,0.026755852842809364,0.16722408026755853,0.1705685618729077,0.006688963210702341,9.943262411347519,0.5852842809364549
fra,0.04842809364548495,0.020066889632107024,0.020066889632107024,0.11371237458193979,0.0033444816053511705,0.08695652173913043,0.012548494983277592,0.0,0.046822742474916385,0.05050167224080285,0.34782608695652173,0.052173913043478334,0.04247491638796042,0.10367892976588629,0.09364548494983277,0.03173913043478257,0.0,0.05284280936455086,0.0,0.04889632107023417,0.09364548494983277,0.4013377926421405,0.0,0.06020066889632107,0.020066889632107024,0.07357859531772576,0.03478260869565186,0.18394648829431437,0.13377926421404646
hnl,0.4280936454849498,0.044147157190634084,0.006688963210702341,0.062207357859531374,0.04481605351170808,0.05351170568561873,0.006688963210702341,0.009498327759197324,0.09364548494983277,0.0,0.2521739130434789,0.0,0.0,0.006688963210702341,0.0,0.0,0.0,0.0,0.1806020066889632,0.0,0.0,0.0,0.03545150501672049,0.07357859531772576,0.09364548494983353,0.06020066889632107,0.0,0.006688963210702341,0.07357859531772576
jnb,0.046822742474916385,0.0,0.013377926421404682,0.0,0.0802675585284281,0.0,0.020066889632107024,0.013377926421404682,0.012976588628762543,0.006688963210702341,0.14046822742474915,0.0,0.0,0.0,0.013377926421404682,0.046822742474916385,0.013377926421404682,0.0,0.09364548494983277,0.0,0.2140468227424749,0.3745819397993311,0.026755852842809364,0.006688963210702341,0.020066889632107024,0.06688963210702341,0.0,0.0,0.046822742474916385
lhr,0.049598662207357924,0.08294314381271002,0.0,0.0722408026755864,0.24414715719063546,0.020066889632107024,0.07324414715719071,0.0,0.0,0.009133779264214046,0.17391304347826086,0.057525083612040194,0.05167224080267557,0.05351170568561873,0.08695652173913043,0.047491638795985704,0.0,0.05652173913043689,0.44816053511705684,0.052408026755852884,1.0735785953177257,0.0,0.046822742474916385,0.06688963210702341,0.411371237458194,0.5585284280936454,0.0484949832775917,0.006688963210702341,0.3628762541806031
