src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.027776666666666668,97.42433333333334,260.0733333333333,108.11666666666666,117.03,144.00666666666666,6.5098,180.42333333333335,166.01333333333332,7.083333333333333,133.03333333333333,31.582666666666668,14.422666666666666,286.11,110.06666666666666,28.285666666666668,120.08666666666667,78.46733333333333,227.09333333333333,9.4691,198.07333333333332,190.16,135.0,270.05,146.72333333333333,159.02666666666667,25.014,276.0566666666667,57.92633333333333
atl,97.41633333333334,0.03444666666666667,270.0,34.55433333333333,16.023666666666667,266.0,101.01,98.72433333333333,246.99666666666667,91.244,48.41733333333333,119.54,100.84566666666667,202.0,12.910666666666668,109.12,243.68333333333334,21.974999999999998,153.0,90.813,114.91,129.14,75.41966666666667,185.00666666666666,63.297666666666665,251.01333333333332,118.84333333333333,191.0,157.03
blr,260.07,270.0,0.040806666666666665,247.63,289.06666666666666,42.11233333333333,257.00333333333333,302.0,290.0,246.0,242.4306049822064,146.11666666666667,168.05,174.0,284.01666666666665,146.02666666666667,17.807666666666666,264.06,113.18,269.24333333333334,318.80333333333334,310.13,226.09333333333333,136.2,213.10333333333332,40.536,334.6766666666667,276.4035714285714,230.21666666666667
ord,108.1,34.546,245.59666666666666,0.03798666666666667,21.785666666666668,253.94666666666666,109.02333333333333,89.73633333333333,266.00333333333333,94.87566666666667,54.141666666666666,117.00333333333333,92.57166666666666,208.0,50.986,122.0,237.40333333333334,18.512,159.00333333333333,98.03966666666666,133.00666666666666,129.01666666666668,42.18566666666667,165.02666666666667,51.14833333333333,213.00333333333333,123.05,197.01,146.01666666666668
dfw,117.0,16.046333333333333,289.0,21.810666666666666,0.03236,283.0133333333333,122.40666666666667,84.38966666666667,292.10333333333335,112.65333333333334,32.87166666666666,141.01,129.16722408026754,181.0,30.755666666666666,142.0,265.00333333333333,37.90566666666667,134.01,116.97333333333333,130.00666666666666,138.01666666666668,64.46333333333334,166.02333333333334,45.529666666666664,195.33444816053512,140.03333333333333,167.01,182.76
del,144.02333333333334,266.0,42.131,253.94,283.01666666666665,0.03401666666666667,156.12,310.0,300.0,141.00666666666666,280.57950530035333,150.02,193.53,206.0,281.00333333333333,147.0,23.704333333333334,271.00333333333333,155.45333333333335,190.0,323.01666666666665,288.0233333333333,258.00333333333333,148.01333333333332,263.89,66.50566666666667,205.00333333333333,333.660777385159,249.61666666666667
fra,6.5188,101.01,257.01,109.05666666666667,122.41,156.04333333333332,0.03645333333333333,183.0,195.02333333333334,11.808,138.20333333333335,30.911666666666665,22.009333333333334,292.05333333333334,114.04666666666667,9.430033333333334,130.0,80.153,227.0,9.039766666666667,199.04333333333332,194.2,144.0,283.3466666666667,147.01,153.03666666666666,17.81,280.51666666666665,51.149
hnl,180.35333333333332,98.72866666666667,302.00333333333333,89.73333333333333,84.37166666666667,310.02666666666664,183.00333333333333,0.027986666666666667,338.05,175.0,54.535333333333334,190.0,180.0,199.00333333333333,112.0,192.0,287.0,106.0,154.09,175.0,225.0,216.0,66.02833333333334,183.03666666666666,47.47266666666667,225.03,197.0,187.00333333333333,244.03666666666666
jnb,166.02333333333334,247.0,290.00666666666666,266.0,292.0466666666667,300.0,195.01,338.01,0.033786666666666666,160.00333333333333,321.0833333333333,181.0,165.0,338.0,284.00666666666666,186.02333333333334,296.00666666666666,251.0,249.04666666666665,165.0,364.87333333333333,334.19,336.0133333333333,256.99666666666667,318.01,175.02666666666667,185.0,323.0,230.02333333333334
lhr,7.072933333333333,91.21966666666667,246.0,94.905,112.81,141.01,11.825666666666667,175.0,160.0,0.02939,130.1,31.90233333333333,7.198133333333334,283.02666666666664,104.04333333333334,24.343,113.0,74.11966666666666,239.40333333333334,7.862333333333333,189.69333333333333,186.0,131.76333333333332,262.05,137.63,169.43666666666667,28.80366666666667,272.00333333333333,58.053666666666665
lax,133.08666666666667,48.407666666666664,242.61888111888112,54.13,32.891,280.8292682926829,138.14666666666668,54.52833333333333,321.0733333333333,130.05666666666667,0.0309,165.13333333333333,156.13,150.08333333333334,62.129,161.02666666666667,267.88256227758006,58.067,114.07666666666667,128.04333333333332,137.83,170.06333333333333,26.049,131.86666666666667,9.3504,164.06666666666666,154.05,138.03333333333333,198.63
mad,31.608333333333334,119.42,146.03,117.01333333333334,141.0,150.06,30.928,190.01,181.0,31.851333333333333,165.06,0.04491333333333333,38.318999999999996,287.00666666666666,132.09,21.304,132.00333333333333,91.465,225.0,20.750333333333334,208.00333333333333,205.12,153.85333333333332,259.01,144.17666666666668,151.01333333333332,51.870999999999995,275.3468013468013,54.86666666666667
man,14.442333333333334,100.84666666666666,168.00666666666666,92.55733333333333,129.19666666666666,193.42666666666668,22.028,180.0,165.0,7.2098,156.06333333333333,38.32666666666667,0.019233333333333335,274.0,114.98666666666666,30.505666666666666,170.45666666666668,85.98133333333334,234.00666666666666,14.584666666666667,206.00333333333333,189.03333333333333,140.0,238.02,134.01333333333332,162.0,36.23166666666667,262.0,63.786
mel,286.13666666666666,202.01666666666668,174.00333333333333,208.00333333333333,181.00666666666666,206.05333333333334,292.0133333333333,199.00333333333333,338.0,283.0,150.13,287.0133333333333,274.00333333333333,0.03145,216.00333333333333,289.0,183.02333333333334,200.72,119.0,282.0,300.11333333333334,320.02666666666664,181.0,159.02,164.01666666666668,196.80666666666667,311.0366666666667,11.188333333333333,348.03333333333336
mia,110.06,12.919333333333334,284.00333333333333,50.98433333333333,30.762,281.00666666666666,114.05333333333333,112.00666666666666,284.01666666666665,104.01333333333334,62.16866666666667,132.41333333333333,114.93311036789298,216.0,0.060206666666666665,119.01666666666667,258.01666666666665,33.41566666666667,173.01,107.00333333333333,102.11333333333333,105.00666666666666,94.12833333333333,198.01,72.985,232.41,131.03,205.0,166.94
mxp,28.269666666666666,109.22333333333333,146.03666666666666,122.0,142.0,147.00333333333333,9.448233333333333,192.0,186.0,24.323333333333334,161.02333333333334,21.330666666666666,30.511,289.0,119.01,0.01377,125.0,92.57866666666666,217.00333333333333,17.092000000000002,222.01666666666668,221.30666666666667,150.0,264.01666666666665,146.00666666666666,144.36666666666667,31.723,277.2852233676976,47.025
bom,120.08,243.5,17.73,237.28666666666666,265.00666666666666,23.67866666666667,130.00333333333333,287.00333333333333,296.0,113.0,268.87943262411346,132.00666666666666,170.50666666666666,183.00333333333333,258.00333333333333,125.0,0.03131,243.01666666666668,134.55,163.02666666666667,301.31333333333333,264.00333333333333,236.0,120.06333333333333,238.01666666666668,51.81066666666666,195.00333333333333,290.69964664310953,228.18333333333334
