dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.76.36.25,9.34,9.453833333333334,9.61,0.049882918474719894,0.04782608695652172,0.0,300,300
45.32.217.75,90.7,90.81433333333334,94.3,0.21313819199967166,0.07123745819398059,0.0,300,300
139.84.212.2,269.0,269.19666666666666,273.0,0.4523887217377944,0.25418060200668896,0.0,300,300
64.177.12.77,97.7,97.88733333333333,98.3,0.06662998991111849,0.04916387959866369,0.0,300,300
149.28.254.227,116.0,116.98333333333333,121.0,0.2881936077631764,0.08695652173913043,0.0,300,300
139.84.163.75,190.0,190.0,190.0,0.0,0.0,0.0,300,300
45.63.116.67,8.9,9.007766666666667,9.14,0.04551203747972124,0.043712374581939654,0.0,300,300
208.83.234.255,175.0,175.01666666666668,176.0,0.12801909579781012,0.026755852842809364,0.0,300,300
139.84.244.82,165.0,165.00666666666666,166.0,0.08137703743822469,0.013377926421404682,0.0,300,300
95.179.230.176,7.72,7.837433333333333,8.02,0.05593221095417402,0.053712374581939816,0.0,300,300
149.28.74.30,128.0,128.01333333333332,129.0,0.11469767022723502,0.026755852842809364,0.0,300,300
65.20.98.139,20.6,20.718666666666667,21.1,0.07060374557265994,0.05719063545150511,0.0,300,300
64.176.179.202,14.5,14.616,15.3,0.0683910325505714,0.047826086956521595,0.0,300,300
139.84.193.49,282.0,282.0,282.0,0.0,0.0,0.0,300,300
144.202.47.251,107.0,107.66333333333333,110.0,0.49998888876542935,0.023411371237458192,0.0,300,300
66.245.207.11,17.0,17.112000000000002,17.3,0.04607240678178884,0.03277591973244108,0.0,300,300
65.20.79.209,163.0,163.03333333333333,164.0,0.17950549357115014,0.05351170568561873,0.0,300,300
207.246.82.142,72.0,72.09033333333333,72.2,0.05297693418418565,0.04147157190635425,0.0,300,300
64.176.52.10,223.0,223.0,223.0,0.0,0.0,0.0,300,300
95.179.209.31,0.016,0.034526666666666664,0.147,0.017392219205405873,0.013274247491638795,0.0,300,300
64.176.19.182,204.0,204.03333333333333,210.0,0.39015666369065416,0.06688963210702341,0.0,300,300
216.128.168.194,182.0,182.99333333333334,187.0,0.30543229837214153,0.08695652173913043,0.0,300,300
45.76.240.194,133.0,133.03333333333333,138.0,0.40688518719112343,0.06688963210702341,0.0,300,300
158.247.201.5,272.0,272.61,275.0,0.5078385570237849,0.3511705685618729,0.0,300,300
149.28.212.207,141.0,141.00333333333333,142.0,0.057638721552635275,0.006688963210702341,0.0,300,300
45.77.46.58,163.0,163.04,171.0,0.47441191665752525,0.0802675585284281,0.0,300,300
70.34.201.243,26.1,26.800333333333334,30.8,0.4755697168192651,0.06956521739130431,0.0,300,300
108.61.213.95,273.0,273.0,273.0,0.0,0.0,0.0,300,300
64.177.70.39,50.9,51.059333333333335,51.5,0.08839054750870738,0.08595317725752612,0.0,300,300
