dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.76.36.25,78.3,78.421,79.7,0.09517877914745446,0.04949832775919679,0.0,300,300
45.32.217.75,21.8,21.924666666666667,23.3,0.10920113959519348,0.06053511705685633,0.0,300,300
139.84.212.2,264.0,264.0,264.0,0.0,0.0,0.0,300,300
64.177.12.77,18.4,18.501333333333335,18.9,0.07787739652099958,0.06254180602006754,0.0,300,300
149.28.254.227,37.8,37.888999999999996,38.2,0.05812916651733531,0.039464882943144375,0.0,300,300
139.84.163.75,271.0,271.0,271.0,0.0,0.0,0.0,300,300
45.63.116.67,79.7,79.844,80.1,0.06374950980203961,0.053846153846156534,0.0,300,300
208.83.234.255,106.0,106.0,106.0,0.0,0.0,0.0,300,300
139.84.244.82,251.0,251.01666666666668,256.0,0.2881936077631764,0.033444816053511704,0.0,300,300
95.179.230.176,70.2,72.501,74.3,1.0014817355631902,0.059531772575251156,0.0,300,300
149.28.74.30,57.9,58.10633333333333,62.6,0.3991573067796149,0.16086956521739168,0.0,300,300
65.20.98.139,91.3,91.43233333333333,91.6,0.06367539207225421,0.04715719063544987,0.0,300,300
64.176.179.202,85.9,89.06433333333334,92.4,3.1180059689202366,0.08695652173912843,0.0,300,300
139.84.193.49,200.0,200.48666666666668,201.0,0.49982219060604166,0.2976588628762542,0.0,300,300
144.202.47.251,33.2,33.39733333333333,34.9,0.13708715800135693,0.06588628762541866,0.0,300,300
66.245.207.11,92.5,92.60533333333333,92.7,0.038792897402604457,0.022742474916388665,0.0,300,300
65.20.79.209,243.0,243.02333333333334,249.0,0.3504124553849205,0.046822742474916385,0.0,300,300
207.246.82.142,0.021,0.04344,0.112,0.018112051236676644,0.0181438127090301,0.0,300,300
64.176.52.10,173.0,173.04333333333332,186.0,0.7493033801842586,0.08695652173913043,0.0,300,300
95.179.209.31,71.9,72.072,72.8,0.07175885543494387,0.048494983277590976,0.0,300,300
64.176.19.182,119.0,120.18,131.0,2.0577333808505576,0.7759197324414716,0.0,300,300
216.128.168.194,108.0,108.17666666666666,125.0,1.5701769185526693,0.16722408026755853,0.0,300,300
45.76.240.194,57.0,57.12166666666667,57.5,0.05799904213768469,0.046822742474916794,0.0,300,300
158.247.201.5,177.0,177.37666666666667,180.0,0.5178051971757547,0.3979933110367893,0.0,300,300
149.28.212.207,67.1,67.226,69.3,0.1361029022467923,0.06421404682274187,0.0,300,300
45.77.46.58,231.0,231.54333333333332,237.0,0.5956415775354243,0.4013377926421405,0.0,300,300
70.34.201.243,85.6,85.72033333333333,85.9,0.04711569684180363,0.029765886287624298,0.0,300,300
108.61.213.95,201.0,201.01333333333332,203.0,0.14079141387961916,0.026755852842809364,0.0,300,300
64.177.70.39,134.0,134.00666666666666,135.0,0.08137703743822469,0.013377926421404682,0.0,300,300
