dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.76.36.25,270.0,270.0133333333333,271.0,0.11469767022723502,0.026755852842809364,0.0,300,300
45.32.217.75,185.0,185.00666666666666,186.0,0.08137703743822469,0.013377926421404682,0.0,300,300
139.84.212.2,136.0,136.08,137.0,0.2712931993250107,0.12040133779264214,0.0,300,300
64.177.12.77,165.0,165.01,167.0,0.12871156384205215,0.020066889632107024,0.0,300,300
149.28.254.227,166.0,166.58,168.0,0.5068859174738763,0.010033444816053512,0.0,300,300
139.84.163.75,148.0,148.03666666666666,150.0,0.23520676483090835,0.07357859531772576,0.0,300,300
45.63.116.67,280.0,280.03333333333336,285.0,0.32489314482696546,0.06688963210702341,0.0,300,300
208.83.234.255,183.0,183.0,183.0,0.0,0.0,0.0,300,300
139.84.244.82,256.0,256.98333333333335,258.0,0.15184055965240498,0.033444816053511704,0.0,300,300
95.179.230.176,261.0,262.2866666666667,268.0,1.37519291575966,0.05016722408026756,0.0,300,300
149.28.74.30,133.0,133.00666666666666,135.0,0.11527744310527055,0.013377926421404682,0.0,300,300
65.20.98.139,259.0,259.00333333333333,260.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.179.202,238.0,238.00333333333333,239.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.193.49,159.0,159.01,160.0,0.099498743710662,0.020066889632107024,0.0,300,300
144.202.47.251,198.0,198.01333333333332,199.0,0.11469767022723502,0.026755852842809364,0.0,300,300
66.245.207.11,264.0,264.0,264.0,0.0,0.0,0.0,300,300
65.20.79.209,120.0,120.04333333333334,126.0,0.4018153251875239,0.08695652173913043,0.0,300,300
207.246.82.142,177.0,177.47666666666666,179.0,0.5060851926526029,0.391304347826087,0.0,300,300
64.176.52.10,36.8,36.92366666666666,42.3,0.3432295959784874,0.10602006688963281,0.0,300,300
95.179.209.31,272.0,272.4533333333333,274.0,0.517515431868676,0.4013377926421405,0.0,300,300
64.176.19.182,313.0,313.0133333333333,314.0,0.11469767022723502,0.026755852842809364,0.0,300,300
216.128.168.194,298.0,298.05333333333334,301.0,0.26549743668986503,0.06020066889632107,0.0,300,300
45.76.240.194,128.0,128.01,129.0,0.099498743710662,0.020066889632107024,0.0,300,300
158.247.201.5,0.016,0.04894333333333333,0.596,0.035644917200383874,0.01980267558528428,0.0,300,300
149.28.212.207,138.0,138.02666666666667,140.0,0.18061622912192088,0.04013377926421405,0.0,300,300
45.77.46.58,108.0,108.00666666666666,109.0,0.08137703743822469,0.013377926421404682,0.0,300,300
70.34.201.243,304.0,304.00666666666666,305.0,0.08137703743822469,0.013377926421404682,0.0,300,300
108.61.213.95,143.0,143.02666666666667,148.0,0.31510139461590597,0.05351170568561873,0.0,300,300
64.177.70.39,309.0,309.02,310.0,0.14,0.033444816053511704,0.0,300,300
