dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.76.36.25,286.0,286.13666666666666,291.0,0.49462668302019,0.2408026755852843,0.0,300,300
45.32.217.75,202.0,202.01666666666668,206.0,0.23746344747958345,0.033444816053511704,0.0,300,300
139.84.212.2,174.0,174.00333333333333,175.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.177.12.77,208.0,208.00333333333333,209.0,0.057638721552635275,0.006688963210702341,0.0,300,300
149.28.254.227,181.0,181.00666666666666,183.0,0.11527744310527055,0.013377926421404682,0.0,300,300
139.84.163.75,206.0,206.05333333333334,218.0,0.7283466817998754,0.10702341137123746,0.0,300,300
45.63.116.67,292.0,292.0133333333333,293.0,0.11469767022723502,0.026755852842809364,0.0,300,300
208.83.234.255,199.0,199.00333333333333,200.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.244.82,338.0,338.0,338.0,0.0,0.0,0.0,300,300
95.179.230.176,283.0,283.0,283.0,0.0,0.0,0.0,300,300
149.28.74.30,150.0,150.13,154.0,0.5413871073455665,0.2140468227424749,0.0,300,300
65.20.98.139,287.0,287.0133333333333,289.0,0.14079141387961916,0.026755852842809364,0.0,300,300
64.176.179.202,274.0,274.00333333333333,275.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.193.49,0.01,0.03145,0.111,0.017911472115192915,0.01525752508361204,0.0,300,300
144.202.47.251,216.0,216.00333333333333,217.0,0.057638721552635275,0.006688963210702341,0.0,300,300
66.245.207.11,289.0,289.0,289.0,0.0,0.0,0.0,300,300
65.20.79.209,183.0,183.02333333333334,190.0,0.4034710508684469,0.046822742474916385,0.0,300,300
207.246.82.142,200.0,200.72,201.0,0.44899888641287294,0.27424749163879597,0.0,300,300
64.176.52.10,119.0,119.0,119.0,0.0,0.0,0.0,300,300
95.179.209.31,282.0,282.0,282.0,0.0,0.0,0.0,300,300
64.176.19.182,300.0,300.11333333333334,308.0,0.6328419146112945,0.13377926421404682,0.0,300,300
216.128.168.194,320.0,320.02666666666664,323.0,0.22939534045447005,0.05351170568561873,0.0,300,300
45.76.240.194,181.0,181.0,181.0,0.0,0.0,0.0,300,300
158.247.201.5,159.0,159.02,161.0,0.16206994374857625,0.04013377926421405,0.0,300,300
149.28.212.207,164.0,164.01666666666668,165.0,0.12801909579781012,0.033444816053511704,0.0,300,300
45.77.46.58,196.0,196.80666666666667,201.0,0.5124668010927363,0.3210702341137124,0.0,300,300
70.34.201.243,311.0,311.0366666666667,319.0,0.4919236616477082,0.07357859531772576,0.0,300,300
108.61.213.95,11.1,11.188333333333333,11.3,0.053202965665041374,0.041137123745819515,0.0,300,300
64.177.70.39,348.0,348.03333333333336,349.0,0.17950549357115014,0.06688963210702341,0.0,300,300
