dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.76.36.25,24.9,25.047666666666668,29.7,0.38178688063135735,0.10468227424749213,0.0,300,300
45.32.217.75,120.0,120.00333333333333,121.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.212.2,333.0,333.6566666666667,337.0,0.5152237917211855,0.4214046822742475,0.0,300,300
64.177.12.77,123.0,123.02,124.0,0.14,0.033444816053511704,0.0,300,300
149.28.254.227,138.0,138.83666666666667,141.0,0.9882588504817731,0.026755852842809364,0.0,300,300
139.84.163.75,205.0,205.05333333333334,221.0,0.9222195448421644,0.10702341137123746,0.0,300,300
45.63.116.67,17.7,17.802,18.0,0.06161168720299727,0.04749163879598647,0.0,300,300
208.83.234.255,197.0,197.0,197.0,0.0,0.0,0.0,300,300
139.84.244.82,185.0,185.0,185.0,0.0,0.0,0.0,300,300
95.179.230.176,28.7,28.758666666666667,28.9,0.0596508358887138,0.046822742474916766,0.0,300,300
149.28.74.30,154.0,154.07666666666665,157.0,0.3883154502320103,0.13377926421404682,0.0,300,300
65.20.98.139,51.7,51.85366666666666,52.0,0.06071701207697603,0.03979933110367945,0.0,300,300
64.176.179.202,36.2,36.24033333333333,36.4,0.052976934184183234,0.03478260869565043,0.0,300,300
139.84.193.49,311.0,311.00666666666666,312.0,0.08137703743822469,0.013377926421404682,0.0,300,300
144.202.47.251,131.0,131.04666666666665,138.0,0.4522044768563099,0.0903010033444816,0.0,300,300
66.245.207.11,31.7,31.713,31.8,0.03363034344160095,0.019397993311037066,0.0,300,300
65.20.79.209,195.0,195.01333333333332,196.0,0.11469767022723502,0.026755852842809364,0.0,300,300
207.246.82.142,85.6,85.749,92.7,0.4063237625342628,0.08929765886287545,0.0,300,300
64.176.52.10,247.0,247.25,274.0,2.0002083224837692,0.47491638795986624,0.0,300,300
95.179.209.31,26.1,26.776666666666667,27.4,0.4104333752944026,0.03979933110367916,0.0,300,300
64.176.19.182,219.0,219.02,225.0,0.34583232931581165,0.04013377926421405,0.0,300,300
216.128.168.194,208.0,209.69,244.0,2.7953354002695274,0.26421404682274247,0.0,300,300
45.76.240.194,164.0,164.87,165.0,0.33630343441600474,0.1806020066889632,0.0,300,300
158.247.201.5,304.0,304.0133333333333,306.0,0.14079141387961916,0.026755852842809364,0.0,300,300
149.28.212.207,164.0,164.12666666666667,165.0,0.33259919155377127,0.20735785953177258,0.0,300,300
45.77.46.58,173.0,173.67333333333335,184.0,0.8164693639214041,0.47157190635451507,0.0,300,300
70.34.201.243,0.01,0.02276,0.098,0.009492930703072331,0.008100334448160535,0.0,300,300
108.61.213.95,296.0,296.04,305.0,0.5339163480046913,0.0802675585284281,0.0,300,300
64.177.70.39,75.9,76.14533333333333,86.5,0.6989121706067382,0.19765886287625364,0.0,300,300
