src,ams,atl,blr,ord,dfw,del,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.032413333333333336,95.63066666666667,248.0,106.66,116.39333333333333,140.0,180.04333333333332,166.04333333333332,6.515466666666667,134.21333333333334,31.713,14.497333333333334,288.00333333333333,159.15,109.0,25.965,141.01333333333332,81.08,242.05333333333334,9.468533333333333,197.00666666666666,186.89666666666668,135.01333333333332,264.74333333333334,147.00333333333333,167.00333333333333,25.019000000000002,275.53,69.569
atl,95.59733333333332,0.05051666666666667,253.06,33.94866666666667,16.028666666666666,266.00333333333333,98.74166666666667,247.00333333333333,91.721,48.88166666666667,117.55666666666667,100.07766666666667,202.01333333333332,51.462666666666664,12.893,112.01333333333334,243.21333333333334,21.337,152.03666666666666,92.45766666666667,115.0,123.0,75.164,180.98333333333332,63.36933333333333,246.01,116.25666666666666,191.00333333333333,156.37
blr,248.0,253.05666666666667,0.037956666666666666,260.0,274.9533333333333,42.120666666666665,302.00333333333333,302.0,244.99,253.3017543859649,147.02333333333334,172.10333333333332,189.0,289.00666666666666,271.0,142.99666666666667,17.662333333333333,271.12666666666667,113.22333333333333,268.01666666666665,316.0,319.1166666666667,212.01333333333332,108.08333333333333,226.53,57.837,324.96,281.98566308243727,227.59
ord,106.63333333333334,33.96733333333333,260.0,0.032483333333333336,21.76033333333333,258.01,89.69466666666666,265.03333333333336,95.80166666666666,54.10266666666667,120.09666666666666,98.859,208.0,43.57266666666667,50.93066666666667,109.02,235.0,18.540333333333333,160.0,94.88933333333334,133.0,129.11,42.14266666666667,175.00333333333333,51.150333333333336,229.00666666666666,121.02,197.0,151.62876254180603
dfw,116.27333333333333,16.021,274.92,21.75733333333333,0.031043333333333333,282.0,84.31566666666667,292.06666666666666,112.14666666666666,32.949,144.0,120.81,181.0,28.545333333333335,28.373666666666665,127.0,263.02,38.0,135.01666666666668,111.83666666666667,130.02,141.35,62.35433333333333,168.08,48.09133333333333,201.33892617449663,138.03333333333333,167.01,169.05333333333334
del,140.0,266.00666666666666,42.074666666666666,258.00666666666666,282.0,0.02459,310.00333333333333,299.02,145.99666666666667,289.78909090909093,155.0,193.00666666666666,208.0,299.0,278.0,147.0,23.586000000000002,272.0033444816053,153.03333333333333,188.02,324.04,288.0733333333333,265.02,141.00333333333333,256.0,73.20933333333333,208.00333333333333,318.0394265232975,246.71
hnl,180.04333333333332,98.75233333333334,302.02,89.685,84.29966666666667,310.0,0.02154,338.04333333333335,175.0,54.96633333333333,190.0,180.02,199.01,106.03666666666666,112.0,192.0,287.0,106.03333333333333,152.0,175.0,199.00666666666666,216.09666666666666,66.27233333333334,189.03,47.548,222.35666666666665,197.0,187.01333333333332,245.04
jnb,166.04333333333332,247.01,302.0,265.0733333333333,292.1166666666667,299.00333333333333,338.0466666666667,0.028726666666666668,161.0,318.35,181.02,165.0,345.0,314.00666666666666,284.00333333333333,186.00333333333333,294.00333333333333,251.05666666666667,247.17333333333335,165.87333333333333,363.01,348.0966666666667,310.53333333333336,246.01333333333332,318.01,174.98666666666668,185.00666666666666,323.0133333333333,223.04666666666665
lhr,6.5022,91.70266666666667,244.96,95.80799999999999,112.09333333333333,146.0,175.0,161.00666666666666,0.04046333333333333,130.40666666666667,29.987333333333332,8.3412,283.46666666666664,138.0,105.0,24.828,113.0,69.693,227.88,7.257466666666667,187.00333333333333,185.00333333333333,130.00333333333333,271.0,137.23333333333332,169.73666666666668,29.444333333333333,272.50666666666666,64.285618729097
lax,134.13,48.79533333333333,253.31448763250884,54.606,32.884,289.99645390070924,54.92733333333333,318.22,130.00333333333333,0.03854666666666667,165.24333333333334,152.87333333333333,150.06,53.79966666666667,62.54833333333333,158.05,263.4911660777385,58.10466666666667,103.03,130.03,138.00666666666666,176.08666666666667,27.212333333333333,139.01666666666668,9.3495,175.41666666666666,154.69666666666666,138.03333333333333,193.04666666666665
mad,31.698666666666668,117.51333333333334,147.05,120.13666666666667,144.0,155.0,190.01333333333332,181.0,29.962333333333333,165.45,0.04458,38.047333333333334,287.02666666666664,164.0,135.2,21.284666666666666,128.03333333333333,91.61233333333332,224.13,22.865,206.02333333333334,205.0,153.02333333333334,266.91333333333336,144.52,153.0,51.867333333333335,275.02,61.53333333333333
man,14.514,99.997,172.08666666666667,98.877,120.72333333333333,193.00666666666666,180.0,165.0,8.338233333333333,153.31666666666666,38.05566666666667,0.021543333333333334,274.0,143.01,117.54666666666667,30.197333333333333,170.96333333333334,76.19366666666666,243.62333333333333,14.229333333333333,233.22,189.01333333333332,144.0,248.02333333333334,134.00333333333333,163.59,36.17966666666667,262.0,68.81438127090301
mel,288.00666666666666,202.03333333333333,189.0,208.0,181.0,208.00333333333333,199.00333333333333,345.00666666666666,283.42333333333335,150.61333333333334,287.0,274.0,0.02863,216.01,214.0,289.01,185.07333333333332,200.94666666666666,119.02333333333333,287.0,303.0,320.03333333333336,178.04,156.54,161.65,183.00666666666666,310.0,11.137333333333332,343.7123745819398
mex,159.17666666666668,51.455,289.06,43.582,28.519333333333332,299.0,106.0,314.00666666666666,138.0,53.30133333333333,164.01,143.0,216.02,0.03306666666666667,74.35866666666666,164.09,276.00333333333333,65.378,160.03,148.02,181.0,159.0,84.059,169.99666666666667,48.341,234.01,152.0,189.0,201.07666666666665
mia,109.00333333333333,12.906666666666666,271.0,50.93933333333333,28.387999999999998,278.0,112.0,284.01,105.0,62.342666666666666,135.24,117.22666666666667,214.0,74.35333333333334,0.03617,123.0,259.00333333333333,33.30433333333333,169.0,109.0,99.14966666666666,111.14666666666666,94.02766666666666,195.00333333333333,75.41266666666667,242.0,132.0,203.0,157.0
mxp,25.976666666666667,112.0,143.0,109.00666666666666,127.0,147.00333333333333,192.0,186.00666666666666,24.815666666666665,158.17,21.277333333333335,30.19,289.01,164.22,123.0,0.012566666666666667,121.99,93.01333333333334,216.06333333333333,17.012333333333334,223.00666666666666,221.27333333333334,150.02333333333334,265.26,146.01,156.00333333333333,30.177,277.01,53.39633333333333
bom,141.00333333333333,243.16333333333333,17.674,235.0,263.00666666666666,23.549666666666667,287.02,294.00666666666666,113.0,263.56115107913666,128.0,170.98333333333332,185.05,276.0,259.0,121.99,0.03286666666666667,243.02333333333334,137.25333333333333,166.0,301.0,265.15,244.04333333333332,120.0,238.0,71.81866666666667,190.07,293.9540636042403,228.01
ewr,81.08,21.348333333333333,271.1666666666667,18.546,37.964666666666666,272.01672240802674,106.11,251.01666666666668,69.69866666666667,58.117,91.59866666666666,76.231,200.93,65.39,32.797333333333334,93.07333333333334,243.00666666666666,0.03849,174.04666666666665,72.13566666666667,131.78,108.02675585284281,57.163333333333334,177.40333333333334,67.30466666666666,233.02666666666667,85.78333333333333,201.03,138.11371237458195
itm,242.02,152.04,113.27090301003345,160.0,135.00666666666666,153.00333333333333,152.0,257.81666666666666,227.68666666666667,103.52333333333333,224.1,243.38333333333333,119.01666666666667,160.00333333333333,169.0,216.01333333333332,137.27,174.04333333333332,0.056709999999999997,232.94,268.01,286.53333333333336,98.599,37.718333333333334,109.01666666666667,74.82466666666667,256.02666666666664,137.09,251.04
cdg,9.4792,92.418,268.03,94.95,111.69666666666667,188.01,175.01333333333332,165.67,7.220233333333334,131.08,22.863,14.200333333333333,287.0,148.00333333333333,109.00666666666666,17.020666666666667,166.0,72.15266666666666,232.92,0.02794,204.01666666666668,182.89333333333335,132.01666666666668,271.6433333333333,139.00333333333333,154.98333333333332,26.19633333333333,273.00333333333333,56.643
scl,197.0,115.0,316.00333333333333,133.0,130.00333333333333,324.00666666666666,199.0,363.00666666666666,187.0,138.49,206.01666666666668,235.12,303.0,181.00333333333333,99.16966666666667,223.00333333333333,301.02666666666664,131.97,268.00666666666666,204.0,0.020073333333333332,48.385,159.00333333333333,312.1566666666667,146.02666666666667,320.0,220.0,323.00333333333333,250.93333333333334
