dst,min,avg,max,stddev,jitter,loss_pct,sent,received
209.250.250.154,31.5,31.698666666666668,31.9,0.0720986977845104,0.054849498327758935,0.0,300,300
155.138.163.188,117.0,117.51333333333334,118.0,0.49982219060604166,0.3411371237458194,0.0,300,300
139.84.158.145,147.0,147.05,162.0,0.8645808232895291,0.10033444816053512,0.0,300,300
64.177.9.70,117.0,120.13666666666667,124.0,2.9013770676850825,0.06688963210702341,0.0,300,300
216.128.138.125,144.0,144.0,144.0,0.0,0.0,0.0,300,300
139.84.165.108,155.0,155.0,155.0,0.0,0.0,0.0,300,300
208.83.237.162,190.0,190.01333333333332,194.0,0.2305548862105411,0.026755852842809364,0.0,300,300
139.84.246.221,181.0,181.0,181.0,0.0,0.0,0.0,300,300
45.76.128.189,29.8,29.962333333333333,30.2,0.06743803740389397,0.06254180602006769,0.0,300,300
45.77.68.4,165.0,165.45,272.0,6.176905913697137,0.882943143812709,0.0,300,300
65.20.102.109,0.013,0.04458,0.09,0.017725036906402574,0.019257525083612042,0.0,300,300
66.245.192.91,37.9,38.047333333333334,38.2,0.06021812204164395,0.049163879598662905,0.0,300,300
139.84.205.93,287.0,287.02666666666664,294.0,0.40737642979872507,0.05351170568561873,0.0,300,300
64.177.83.54,164.0,164.0,164.0,0.0,0.0,0.0,300,300
144.202.46.19,133.0,135.2,140.0,2.9257477676655586,0.09364548494983277,0.0,300,300
66.245.205.28,21.2,21.284666666666666,21.5,0.05625734519943956,0.044816053511705874,0.0,300,300
65.20.72.29,128.0,128.03333333333333,138.0,0.5763872155263527,0.06688963210702341,0.0,300,300
45.32.5.193,91.4,91.61233333333332,92.6,0.16066908711869782,0.10936454849498314,0.0,300,300
64.176.50.67,224.0,224.13,225.0,0.33630343441600474,0.1939799331103679,0.0,300,300
95.179.210.36,22.8,22.865,23.0,0.0529937103186146,0.046488294314380445,0.0,300,300
64.176.17.76,206.0,206.02333333333334,207.0,0.15095989165632337,0.046822742474916385,0.0,300,300
216.238.127.157,205.0,205.0,205.0,0.0,0.0,0.0,300,300
104.207.156.177,153.0,153.02333333333334,154.0,0.15095989165632337,0.046822742474916385,0.0,300,300
141.164.43.131,266.0,266.91333333333336,267.0,0.28134597128012256,0.11705685618729098,0.0,300,300
45.63.87.187,144.0,144.52,146.0,0.5127702539474509,0.3745819397993311,0.0,300,300
139.180.146.177,153.0,153.0,153.0,0.0,0.0,0.0,300,300
65.20.113.77,51.8,51.867333333333335,52.1,0.055972215329473766,0.04113712374581998,0.0,300,300
45.77.239.240,275.0,275.02,279.0,0.24413111231467405,0.03678929765886288,0.0,300,300
64.176.171.111,61.3,61.53333333333333,61.9,0.0946337971105235,0.09197324414715821,0.0,300,300
