src,ams,atl,blr,ord,dfw,fra,hnl,jnb,lhr,lax,mad,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.013177257525083612,0.150671140939599,0.013377926421404682,0.013377926421404682,0.006688963210702341,0.05478260869565219,0.04013377926421405,0.10033444816053512,0.05963210702341131,0.04013377926421405,0.0525083612040129,0.006688963210702341,0.0,0.046822742474916385,0.046488294314380806,0.08695652173913043,0.07023411371237515,0.0,0.07170568561872916,0.013377926421404682,0.4682274247491639,0.006688963210702341,0.0,0.010033444816053512,0.006688963210702341,0.05585284280936501,0.3311036789297659,0.1381270903010021
atl,0.09831081081081036,0.01228428093645485,0.05351170568561873,0.13724832214765173,0.1194630872483222,0.0851351351351377,0.06040268456375839,0.26174496644295303,0.08918918918918776,0.12919463087248392,0.24496644295302014,0.040268456375838924,0.07702702702702764,0.07785234899328843,0.04697986577181208,0.1342281879194631,0.04581939799331119,0.06688963210702341,0.09765886287625594,0.0,0.3277591973244147,0.05284280936454663,0.026755852842809364,0.059866220735786804,0.013377926421404682,0.06020066889632107,0.0,0.006711409395973154
blr,0.0,0.08813559322033898,0.019518394648829433,0.06688963210702341,0.36789297658862874,0.3377926421404682,0.020066889632107024,0.45484949832775917,0.026755852842809364,10.729537366548042,0.013377926421404682,0.20066889632107024,0.006688963210702341,0.3076923076923077,0.006688963210702341,0.044481605351170274,0.3411371237458194,0.6902356902356902,0.020066889632107024,0.42474916387959866,0.2408026755852843,0.23411371237458195,0.2408026755852843,0.006688963210702341,0.08896321070234202,0.006688963210702341,9.212765957446809,0.20202020202020202
ord,0.013377926421404682,0.089966555183947,0.020066889632107024,0.020494983277591975,0.07023411371237433,0.006688963210702341,0.0739130434782601,0.36454849498327757,0.10367892976588391,0.11471571906354472,0.1605351170568562,0.05351170568561873,0.07625418060200743,0.07792642140468295,0.006688963210702341,0.06020066889632107,0.12441471571906368,0.10033444816053512,0.15351170568561742,0.04013377926421405,0.2608695652173913,0.15384615384615485,0.22742474916387959,0.1341137123745808,0.45484949832775917,0.15384615384615385,0.05351170568561873,0.10067114093959731
dfw,0.0,0.09030100334448182,0.3377926421404682,0.08561872909698978,0.009531772575250836,0.05351170568561873,0.04916387959866265,0.2040133779264214,0.05016722408026756,0.07157190635451578,0.020066889632107024,0.006688963210702341,0.0765886287625418,0.06989966555184,0.006688963210702341,0.07357859531772576,0.057859531772575835,0.0,0.15719063545150502,0.0,0.043478260869565216,0.05886287625417899,0.013377926421404682,0.07190635451505079,0.7248322147651006,0.023411371237458192,0.0,0.08695652173913043
fra,0.05943143812709036,0.10269360269360518,0.2976588628762542,0.033444816053511704,0.026755852842809364,0.01065886287625418,0.0,0.020066889632107024,0.05652173913043507,0.0,0.053177257525083406,0.09364548494983277,0.25418060200668896,0.006688963210702341,0.04013377926421406,0.2508361204013378,0.05250836120401153,0.05351170568561873,0.07461538461538465,0.006688963210702341,0.23411371237458195,0.17391304347826086,0.013377926421404682,0.020066889632107024,0.06688963210702341,0.04983277591973241,0.2909698996655518,0.15656565656565788
hnl,0.0,0.07357859531772576,0.033444816053511704,0.07826086956521675,0.05886287625418111,0.0,0.007307692307692308,0.2608695652173913,0.0,0.23812709030100382,0.0,0.0,0.0491638795986616,0.006688963210702341,0.0,0.006688963210702341,0.0,0.04013377926421405,0.07357859531772576,0.026755852842809364,0.3779264214046823,0.058528428093642636,0.0,0.09765886287625486,0.25418060200668896,0.0,0.013377926421404682,0.12794612794612795
jnb,0.033444816053511704,0.12837837837837837,0.47491638795986624,0.3712374581939799,0.42474916387959866,0.006688963210702341,0.20735785953177258,0.015759197324414716,0.026755852842809364,0.3411371237458194,0.0,0.0,0.3377926421404682,0.033444816053511704,0.0,0.0903010033444816,0.04013377926421405,0.033444816053511704,0.06688963210702341,0.05351170568561873,0.1605351170568562,0.013377926421404682,0.0802675585284281,0.046822742474916385,0.08695652173913043,0.006688963210702341,0.0,0.0
lhr,0.07963210702341138,0.13063973063972953,0.020066889632107024,0.0782608695652157,0.030100334448160536,0.06387959866220769,0.020066889632107024,0.0,0.010528428093645485,0.26755852842809363,0.05785953177257529,0.026755852842809364,0.0,0.020066889632107024,0.05819397993311086,0.0,0.06220735785953346,0.0,0.0890969899665552,0.0,0.020066889632107024,0.05351170568561873,0.0,0.006688963210702341,0.04013377926421405,0.04949832775919722,0.020066889632107024,0.15838926174496712
lax,0.030201342281879196,0.10805369127516846,10.754448398576512,0.09130434782608683,0.07424749163879647,0.033444816053511704,0.2528428093645489,0.24414715719063546,0.26755852842809363,0.011096989966555185,0.20735785953177258,0.08695652173913043,0.15953177257525106,0.05685618729096954,0.17391304347826086,10.76241134751773,0.1973244147157195,0.2140468227424749,0.1806020066889632,0.056856187290969896,0.0802675585284281,0.06755852842809391,0.12040133779264214,0.08381270903010038,0.38127090301003347,0.12374581939799331,0.14715719063545152,0.2483221476510067
