src,ams,atl,blr,ord,dfw,fra,hnl,jnb,lhr,lax,mad,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ams,0.03146,96.8752508361204,251.00666666666666,105.77666666666667,118.00333333333333,6.6639333333333335,180.02,166.05333333333334,5.9589,134.02,31.323,287.00333333333333,152.0,107.95333333333333,23.691,118.96333333333334,72.81466666666667,231.0,9.3782,197.99333333333334,190.23333333333332,139.00333333333333,268.0,145.61,163.00333333333333,25.067,276.23333333333335,60.22233333333333
atl,96.806734006734,0.03391,273.02666666666664,35.09799331103679,16.046153846153846,99.84983164983164,108.03678929765886,246.90969899665552,92.39393939393939,48.393979933110366,117.21739130434783,202.02341137123747,46.022222222222226,12.88628762541806,111.02341137123746,246.0702341137124,21.272666666666666,152.03666666666666,92.213,115.0,117.16333333333333,74.93933333333334,191.01333333333332,63.39833333333333,245.00666666666666,119.64,191.0,150.00334448160535
blr,251.0,273.0439189189189,0.041403333333333334,243.03333333333333,277.4533333333333,250.59333333333333,287.01,292.51,243.01,249.2304964539007,151.00666666666666,169.86666666666667,318.00666666666666,275.74333333333334,150.00333333333333,17.694,271.51,116.51677852348993,269.01,317.44,323.12,227.11666666666667,122.80666666666667,210.00333333333333,38.449666666666666,323.00333333333333,279.9469964664311,242.06711409395973
ord,105.78333333333333,35.07866666666667,243.01,0.04541666666666667,21.837,108.00333333333333,89.79066666666667,266.66,96.051,54.193333333333335,121.81666666666666,208.02666666666667,51.464666666666666,50.973,116.00333333333333,237.01333333333332,18.6,157.05333333333334,97.094,134.02,129.13333333333333,42.467,166.14,51.263333333333335,200.53,125.97,197.03,151.96989966555185
dfw,118.0,16.058333333333334,277.5933333333333,21.832666666666668,0.030263333333333333,121.02666666666667,95.22,292.1433333333333,112.13,32.869,135.01333333333332,194.00333333333333,35.674,28.011333333333333,142.00333333333333,264.04,37.923,142.0,114.85666666666667,130.0,134.05333333333334,62.35633333333333,171.12,48.099000000000004,195.66220735785953,140.79666666666665,167.0,174.95333333333335
fra,6.654733333333334,99.88389261744966,250.74,108.01666666666667,121.01666666666667,0.02988,183.0,195.01,11.803333333333335,139.0,30.892666666666667,292.0466666666667,148.79333333333332,114.00333333333333,9.4802,129.16,81.538,238.02666666666667,9.108066666666666,198.00333333333333,192.11666666666667,144.15666666666667,272.00666666666666,144.01,153.03333333333333,17.792333333333332,282.01,60.968456375838926
hnl,180.0,108.03666666666666,287.01666666666665,89.78333333333333,95.22,183.0,0.03622,338.1533333333333,174.0,54.52333333333333,190.0,199.0,97.91433333333333,116.00333333333333,192.0,287.00333333333333,106.0,154.02,175.04666666666665,192.01333333333332,225.57,66.50466666666667,189.0,47.594,222.33,197.0,187.00666666666666,245.06375838926175
jnb,166.01666666666668,246.95622895622895,292.72,266.56666666666666,292.33666666666664,195.00333333333333,338.1066666666667,0.03531666666666667,160.01333333333332,316.36333333333334,181.0,345.0,315.50333333333333,286.01666666666665,184.0,270.05333333333334,251.02,246.01,165.04333333333332,362.02666666666664,348.08,328.00666666666666,265.0,318.0233333333333,175.04333333333332,185.00333333333333,323.0,230.0
lhr,5.971066666666666,92.44530201342282,243.00333333333333,96.05499999999999,112.11333333333333,11.8,174.01,160.0,0.03092666666666667,128.18,26.912,289.0133333333333,135.0,105.01,24.268666666666668,112.0,69.627,240.0,7.333433333333334,188.0,185.99666666666667,131.00666666666666,263.0,138.00333333333333,161.02333333333334,29.096666666666668,271.01,63.409698996655514
lax,134.02341137123747,48.38695652173913,249.70212765957447,54.18,32.870666666666665,139.01666666666668,54.57333333333333,316.19666666666666,128.18666666666667,0.03335333333333333,169.10666666666665,150.04333333333332,46.22766666666667,60.321666666666665,159.09333333333333,258.65724381625444,58.163333333333334,112.16,131.11,137.04,173.64333333333335,27.256,137.06333333333333,7.9786,167.77,163.24666666666667,138.08666666666667,201.0267558528428
mad,31.307333333333332,117.30201342281879,151.0,121.81,135.00666666666666,30.891666666666666,190.0,181.0,26.884333333333334,169.16666666666666,0.042436666666666664,287.01,168.0,130.0,21.276333333333334,129.24,100.0,234.0,23.041666666666668,217.00666666666666,205.00333333333333,148.0,251.0,144.56,161.00666666666666,55.255,275.13,55.39366666666667
mel,287.00333333333333,202.02,169.99666666666667,208.02333333333334,194.01,292.0366666666667,199.0,345.03333333333336,288.82666666666665,150.06,287.00333333333333,0.035293333333333336,216.11333333333334,214.0,289.0,180.01333333333332,200.95666666666668,119.00333333333333,284.01666666666665,307.00333333333333,318.0,180.0,154.0,164.17666666666668,211.57,308.87333333333333,11.248666666666667,344.1505016722408
mex,152.00333333333333,46.03010033444816,318.00666666666666,51.471333333333334,35.66966666666667,148.88,97.91000000000001,315.48333333333335,135.00333333333333,46.17266666666667,168.00333333333333,216.12333333333333,0.035673333333333335,83.85633333333334,165.0,302.0733333333333,64.97066666666667,147.0,141.02666666666667,154.01,173.05666666666667,68.316,176.4,48.35133333333333,210.06354515050168,155.0,190.0,202.8695652173913
mia,107.9,12.879933110367894,275.68666666666667,50.99,28.013333333333332,114.01,116.0,286.0,105.02333333333333,60.308,130.00333333333333,214.01,83.85966666666667,0.03587666666666667,123.0,262.00333333333333,32.702666666666666,167.0,104.05,99.16199999999999,111.15,94.03066666666666,201.00333333333333,77.11366666666666,244.03666666666666,130.0,205.0,163.67676767676767
mxp,23.668333333333333,111.04054054054055,150.00666666666666,116.00666666666666,142.00666666666666,9.4824,192.0,184.01333333333332,24.258,159.08,21.298333333333332,289.00333333333333,165.0,123.0,0.012683333333333333,124.01666666666667,99.212,217.0,17.138,215.0,221.39333333333335,146.00333333333333,248.98666666666668,146.0,152.88666666666666,30.386666666666667,277.00666666666666,47.095652173913045
bom,118.92,246.10333333333332,17.679333333333332,236.99333333333334,264.02666666666664,129.1,287.0,270.02,112.0,258.3811188811189,129.11333333333334,180.03,302.12,262.0,124.00666666666666,0.026953333333333333,245.0,128.80333333333334,164.01333333333332,297.0,264.21666666666664,239.0,131.0,245.0,55.708,180.0,292.81205673758865,227.97666666666666
ewr,72.78366666666666,21.29230769230769,271.26666666666665,18.54,37.919333333333334,81.53266666666667,106.00666666666666,251.01333333333332,69.71033333333332,58.127,99.97466666666666,200.83666666666667,64.926,33.232,97.88266666666667,245.0,0.04438,166.0,72.12233333333333,119.0,108.02666666666667,56.823,179.02,67.25666666666666,224.88,85.72,201.00666666666666,137.0
itm,231.0,152.04026845637583,116.5752508361204,157.02333333333334,142.00333333333333,238.02,154.06,245.99333333333334,240.0,112.08666666666667,234.00333333333333,119.0,147.0,167.0,217.0,128.68666666666667,166.0,0.016753333333333332,221.00666666666666,267.77,283.04333333333335,100.00333333333333,38.516,109.0,73.57833333333333,260.0,136.05333333333334,250.01672240802677
cdg,9.351966666666666,92.59666666666666,269.29333333333335,96.979,114.81666666666666,9.044366666666667,175.02,165.02333333333334,7.2049666666666665,131.16,22.953666666666667,284.7366666666667,141.01,104.0,17.12366666666667,164.0,72.13233333333334,221.00666666666666,0.040236666666666664,195.0,182.89,133.00333333333333,270.0233333333333,136.01,166.30333333333334,26.278666666666666,271.01,56.954515050167224
