dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.63.43.153,118.0,118.0,118.0,0.0,0.0,0.0,300,300
45.76.61.64,15.9,16.058333333333334,17.2,0.194329331005098,0.09030100334448182,0.0,300,300
139.84.223.244,277.0,277.5933333333333,279.0,0.49795135862406836,0.3377926421404682,0.0,300,300
64.177.9.215,21.7,21.832666666666668,22.9,0.13291434167245525,0.08561872909698978,0.0,300,300
45.76.238.92,0.018,0.030263333333333333,0.148,0.012270316033238735,0.009531772575250836,0.0,300,300
45.76.85.55,121.0,121.02666666666667,122.0,0.16110727964792762,0.05351170568561873,0.0,300,300
208.83.236.183,95.1,95.22,96.1,0.10832051206181263,0.04916387959866265,0.0,300,300
139.84.251.73,292.0,292.1433333333333,293.0,0.3504124553849205,0.2040133779264214,0.0,300,300
45.63.98.245,112.0,112.13,113.0,0.33630343441600474,0.05016722408026756,0.0,300,300
149.28.70.185,32.8,32.869,33.6,0.1125714587865571,0.07157190635451578,0.0,300,300
208.85.16.69,135.0,135.01333333333332,136.0,0.11469767022723502,0.020066889632107024,0.0,300,300
139.84.205.11,194.0,194.00333333333333,195.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.238.69.118,35.6,35.674,36.4,0.10734989520255676,0.0765886287625418,0.0,300,300
144.202.34.109,27.9,28.011333333333333,29.0,0.13065816298860045,0.06989966555184,0.0,300,300
66.245.203.167,142.0,142.00333333333333,143.0,0.057638721552635275,0.006688963210702341,0.0,300,300
65.20.81.61,264.0,264.04,269.0,0.3241398874971525,0.07357859531772576,0.0,300,300
207.246.93.231,37.8,37.923,40.5,0.15802215034608313,0.057859531772575835,0.0,300,300
64.176.55.188,142.0,142.0,142.0,0.0,0.0,0.0,300,300
104.238.190.148,114.0,114.85666666666667,115.0,0.3504124553849205,0.15719063545150502,0.0,300,300
64.176.25.128,130.0,130.0,130.0,0.0,0.0,0.0,300,300
216.238.127.116,134.0,134.05333333333334,138.0,0.32221455929585524,0.043478260869565216,0.0,300,300
66.42.76.67,62.2,62.35633333333333,65.0,0.44368895511257506,0.05886287625417899,0.0,300,300
158.247.203.155,171.0,171.12,175.0,0.6823488843692792,0.013377926421404682,0.0,300,300
149.28.193.176,47.8,48.099000000000004,48.7,0.09219002115196692,0.07190635451505079,0.0,300,300
45.76.189.244,195.0,195.66220735785953,198.0,0.6864258239986433,0.7248322147651006,0.3333333333333333,300,299
70.34.201.250,140.0,140.79666666666665,141.0,0.402478432824529,0.023411371237458192,0.0,300,300
45.32.188.226,167.0,167.0,167.0,0.0,0.0,0.0,300,300
64.176.162.221,174.0,174.95333333333335,175.0,0.210923893594085,0.08695652173913043,0.0,300,300
