dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.63.43.153,231.0,231.0,231.0,0.0,0.0,0.0,300,300
45.76.61.64,152.0,152.04026845637583,154.0,0.21297492151171046,0.08080808080808081,0.6666666666666666,300,298
139.84.223.244,116.0,116.5752508361204,127.0,0.8866472419909003,0.7516778523489933,0.3333333333333333,300,299
64.177.9.215,157.0,157.02333333333334,159.0,0.1716262088247467,0.046822742474916385,0.0,300,300
45.76.238.92,142.0,142.00333333333333,143.0,0.057638721552635275,0.006688963210702341,0.0,300,300
45.76.85.55,238.0,238.02,239.0,0.14,0.04013377926421405,0.0,300,300
208.83.236.183,154.0,154.06,163.0,0.544426303552648,0.11705685618729098,0.0,300,300
139.84.251.73,245.0,245.99333333333334,247.0,0.11527744310527055,0.020066889632107024,0.0,300,300
45.63.98.245,240.0,240.0,240.0,0.0,0.0,0.0,300,300
149.28.70.185,112.0,112.08666666666667,113.0,0.28134597128012256,0.12040133779264214,0.0,300,300
208.85.16.69,234.0,234.00333333333333,235.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.205.11,119.0,119.0,119.0,0.0,0.0,0.0,300,300
216.238.69.118,147.0,147.0,147.0,0.0,0.0,0.0,300,300
144.202.34.109,167.0,167.0,167.0,0.0,0.0,0.0,300,300
66.245.203.167,217.0,217.0,217.0,0.0,0.0,0.0,300,300
65.20.81.61,128.0,128.68666666666667,129.0,0.46384863431463885,0.3377926421404682,0.0,300,300
207.246.93.231,166.0,166.0,166.0,0.0,0.0,0.0,300,300
64.176.55.188,0.009,0.016753333333333332,0.06,0.00730154017238068,0.004929765886287626,0.0,300,300
104.238.190.148,221.0,221.00666666666666,223.0,0.11527744310527055,0.013377926421404682,0.0,300,300
64.176.25.128,267.0,267.77,270.0,0.4439594576084623,0.33444816053511706,0.0,300,300
216.238.127.116,283.0,283.04333333333335,294.0,0.6388444428984432,0.08695652173913043,0.0,300,300
66.42.76.67,100.0,100.00333333333333,101.0,0.057638721552635275,0.006688963210702341,0.0,300,300
158.247.203.155,38.3,38.516,40.5,0.1440277750991114,0.08026755852842904,0.0,300,300
149.28.193.176,109.0,109.0,109.0,0.0,0.0,0.0,300,300
45.76.189.244,73.4,73.57833333333333,74.0,0.09467781624482448,0.0765886287625411,0.0,300,300
70.34.201.250,260.0,260.0,260.0,0.0,0.0,0.0,300,300
45.32.188.226,136.0,136.05333333333334,137.0,0.2246973272847029,0.10702341137123746,0.0,300,300
64.176.162.221,250.0,250.01672240802677,251.0,0.1282293612888349,0.03355704697986577,0.3333333333333333,300,299
