dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.63.43.153,166.0,166.01666666666668,167.0,0.12801909579781012,0.033444816053511704,0.0,300,300
45.76.61.64,246.0,246.95622895622895,248.0,0.26228070160471983,0.12837837837837837,1.0,300,297
139.84.223.244,292.0,292.72,305.0,0.891590339412296,0.47491638795986624,0.0,300,300
64.177.9.215,266.0,266.56666666666666,270.0,0.5343739847293799,0.3712374581939799,0.0,300,300
45.76.238.92,292.0,292.33666666666664,313.0,1.2767101820260105,0.42474916387959866,0.0,300,300
45.76.85.55,195.0,195.00333333333333,196.0,0.057638721552635275,0.006688963210702341,0.0,300,300
208.83.236.183,338.0,338.1066666666667,342.0,0.39406711216351065,0.20735785953177258,0.0,300,300
139.84.251.73,0.011,0.03531666666666667,0.12,0.01610723612403927,0.015759197324414716,0.0,300,300
45.63.98.245,160.0,160.01333333333332,163.0,0.18208667044996885,0.026755852842809364,0.0,300,300
149.28.70.185,316.0,316.36333333333334,318.0,0.48784104879447043,0.3411371237458194,0.0,300,300
208.85.16.69,181.0,181.0,181.0,0.0,0.0,0.0,300,300
139.84.205.11,345.0,345.0,345.0,0.0,0.0,0.0,300,300
216.238.69.118,315.0,315.50333333333333,320.0,0.5627215613032395,0.3377926421404682,0.0,300,300
144.202.34.109,286.0,286.01666666666665,290.0,0.23746344747958345,0.033444816053511704,0.0,300,300
66.245.203.167,184.0,184.0,184.0,0.0,0.0,0.0,300,300
65.20.81.61,270.0,270.05333333333334,273.0,0.3116978594016256,0.0903010033444816,0.0,300,300
207.246.93.231,251.0,251.02,254.0,0.21509687739868905,0.04013377926421405,0.0,300,300
64.176.55.188,245.0,246.01,248.0,0.15242484486898233,0.033444816053511704,0.0,300,300
104.238.190.148,165.0,165.04333333333332,166.0,0.20360637405433935,0.06688963210702341,0.0,300,300
64.176.25.128,362.0,362.02666666666664,366.0,0.2931817790306136,0.05351170568561873,0.0,300,300
216.238.127.116,348.0,348.08,365.0,1.039358776682367,0.1605351170568562,0.0,300,300
66.42.76.67,328.0,328.00666666666666,329.0,0.08137703743822469,0.013377926421404682,0.0,300,300
158.247.203.155,264.0,265.0,268.0,0.2449489742783178,0.0802675585284281,0.0,300,300
149.28.193.176,318.0,318.0233333333333,324.0,0.3504124553849205,0.046822742474916385,0.0,300,300
45.76.189.244,175.0,175.04333333333332,184.0,0.5367701763531784,0.08695652173913043,0.0,300,300
70.34.201.250,185.0,185.00333333333333,186.0,0.057638721552635275,0.006688963210702341,0.0,300,300
45.32.188.226,323.0,323.0,323.0,0.0,0.0,0.0,300,300
64.176.162.221,230.0,230.0,230.0,0.0,0.0,0.0,300,300
