dst,min,avg,max,stddev,jitter,loss_pct,sent,received
45.63.43.153,197.0,197.91666666666666,208.0,0.665624184923862,0.27424749163879597,0.0,300,300
45.76.61.64,115.0,115.45,188.0,4.871772435845774,0.49498327759197325,0.0,300,300
139.84.223.244,317.0,317.31666666666666,319.0,0.4722875771768251,0.3377926421404682,0.0,300,300
64.177.9.215,134.0,134.44333333333333,192.0,4.379511641978158,0.4280936454849498,0.0,300,300
45.76.238.92,130.0,130.40333333333334,193.0,4.207214702811773,0.45484949832775917,0.0,300,300
45.76.85.55,198.0,198.00333333333333,199.0,0.057638721552635275,0.006688963210702341,0.0,300,300
208.83.236.183,192.0,192.02,198.0,0.34583232931581165,0.04013377926421405,0.0,300,300
139.84.251.73,362.0,362.0133333333333,363.0,0.11469767022723502,0.026755852842809364,0.0,300,300
45.63.98.245,188.0,188.09666666666666,204.0,1.1227891857136654,0.12040133779264214,0.0,300,300
149.28.70.185,137.0,137.03,138.0,0.1705872210923198,0.05351170568561873,0.0,300,300
208.85.16.69,217.0,217.00666666666666,218.0,0.08137703743822469,0.013377926421404682,0.0,300,300
139.84.205.11,307.0,307.4314381270903,375.0,4.637113795583968,0.4563758389261745,0.3333333333333333,300,299
216.238.69.118,154.0,154.02333333333334,155.0,0.15095989165632337,0.04013377926421405,0.0,300,300
144.202.34.109,99.1,99.19533333333334,109.0,0.5697176688696101,0.11103678929766182,0.0,300,300
66.245.203.167,215.0,215.0,215.0,0.0,0.0,0.0,300,300
65.20.81.61,297.0,297.0,297.0,0.0,0.0,0.0,300,300
207.246.93.231,119.0,119.0,119.0,0.0,0.0,0.0,300,300
64.176.55.188,267.0,267.6,268.0,0.4898979485566356,0.4214046822742475,0.0,300,300
104.238.190.148,195.0,195.0,195.0,0.0,0.0,0.0,300,300
64.176.25.128,0.01,0.02053,0.063,0.008504259716949696,0.006558528428093646,0.0,300,300
216.238.127.116,48.2,48.513999999999996,74.9,2.0000343330386445,0.39832775919732477,0.0,300,300
66.42.76.67,159.0,159.0,159.0,0.0,0.0,0.0,300,300
158.247.203.155,312.0,312.30333333333334,314.0,0.5756059608987925,0.4916387959866221,0.0,300,300
149.28.193.176,181.0,181.0,181.0,0.0,0.0,0.0,300,300
45.76.189.244,316.0,316.10333333333335,318.0,0.31515428320462696,0.17391304347826086,0.0,300,300
70.34.201.250,214.0,214.01333333333332,215.0,0.11469767022723502,0.026755852842809364,0.0,300,300
45.32.188.226,324.0,324.0,324.0,0.0,0.0,0.0,300,300
64.176.162.221,250.0,250.0133779264214,251.0,0.11488671596868005,0.026845637583892617,0.3333333333333333,300,299
