src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
ams,0.03340666666666667,96.35366666666667,252.06666666666666,106.0,116.01666666666667,139.05,6.611433333333333,180.50666666666666,166.02,5.927366666666667,133.81666666666666,31.650333333333332,14.465,286.06666666666666,141.00333333333333,107.13333333333334,23.798333333333332,123.86666666666666,80.70133333333334,244.09333333333333,9.697666666666667,198.00333333333333,185.30333333333334,137.03,264.91333333333336,150.00666666666666,159.99333333333334,25.170333333333335,275.00666666666666,55.981,230.69666666666666,96.24466666666666,20.637666666666668
atl,96.37233333333333,0.03987333333333334,255.03666666666666,34.408,16.129333333333335,267.06333333333333,101.99333333333334,98.819,247.0,92.171,48.38333333333333,117.85333333333334,98.32433333333333,202.02666666666667,39.18633333333334,12.951,112.0,240.53666666666666,22.086333333333332,168.28333333333333,96.60566666666666,111.01333333333334,117.02341137123746,76.53333333333333,189.14,63.33154362416107,281.02749140893474,119.01342281879195,191.01,151.20666666666668,147.03,43.395973154362416,118.0
blr,252.03,255.09333333333333,0.044366666666666665,328.9697986577181,293.0366666666667,43.949666666666666,251.04,306.01666666666665,294.97333333333336,249.02333333333334,236.01023890784984,153.04,213.00333333333333,169.09333333333333,293.01,267.1166666666667,144.00666666666666,20.866333333333333,266.00333333333333,132.52,269.80333333333334,320.1,314.6933333333333,209.61666666666667,105.99328859060402,258.7946127946128,40.524080267558524,323.08666666666664,270.51903114186854,229.28666666666666,111.08,271.2366666666667,191.03666666666666
ord,105.99,34.40933333333333,329.3993288590604,0.043916666666666666,21.837,260.0,102.02,89.78233333333333,246.00333333333333,95.86966666666667,54.145,117.00333333333333,92.587,208.0,46.70766666666667,51.004666666666665,116.0,232.99333333333334,18.573666666666668,159.12666666666667,97.24066666666667,129.87333333333333,129.0,42.352999999999994,159.03666666666666,51.093,213.12,121.05,197.0,149.14666666666668,137.98333333333332,10.893,119.01666666666667
dfw,116.01333333333334,16.128,293.0133333333333,21.842666666666666,0.03305333333333333,280.09,121.91,84.425,269.0366666666667,112.38666666666667,32.891999999999996,135.01333333333332,116.0,181.0,28.566333333333333,31.461666666666666,127.00666666666666,258.00333333333333,37.971333333333334,142.04,112.00666666666666,126.52666666666667,146.00333333333333,64.86833333333334,171.05333333333334,47.928666666666665,190.48287671232876,137.02333333333334,167.00333333333333,162.32,131.00666666666666,30.361666666666668,140.0
del,139.03666666666666,267.0366666666667,43.971,260.0,280.04333333333335,0.03964666666666666,152.0,314.35,302.00666666666666,142.00666666666666,273.1084745762712,158.02333333333334,221.5,212.01333333333332,301.00333333333333,278.01,148.00666666666666,28.245,275.0133333333333,159.50340136054422,197.00666666666666,326.8666666666667,292.12333333333333,258.0,150.02333333333334,259.00333333333333,68.71133333333333,208.00333333333333,318.61245674740485,257.24,142.01666666666668,275.04,217.0
fra,6.623333333333333,101.99,251.01,102.10666666666667,121.91333333333333,152.00666666666666,0.033876666666666666,183.0,171.32333333333332,11.545666666666666,138.18729096989966,32.858999999999995,22.094,292.00333333333333,143.00333333333333,114.15,9.935533333333334,131.00666666666666,81.443,236.47,9.937966666666666,198.00333333333333,192.03,146.0,282.02666666666664,145.00333333333333,157.0,17.945,282.99666666666667,53.49933333333333,252.94333333333333,102.00333333333333,18.040666666666667
hnl,180.55,98.85066666666667,306.02,89.768,84.418,314.4533333333333,183.01,0.037553333333333334,338.0466666666667,175.0,54.42,190.00333333333333,180.01,199.0,105.92333333333333,112.00333333333333,192.0,287.05333333333334,106.0,154.11666666666667,175.1,189.0,216.0,66.03833333333333,186.22666666666666,47.461666666666666,222.09666666666666,197.0,192.0,245.24,153.00333333333333,101.01666666666667,197.03333333333333
jnb,166.00666666666666,247.0,294.96,246.00333333333333,269.03,302.00333333333333,171.52,338.11,0.04181,161.0,309.03,181.0,165.0,341.0,289.05333333333334,258.01666666666665,185.03666666666666,281.0233333333333,227.00666666666666,245.05,166.01666666666668,350.0,336.7266666666667,317.00666666666666,258.19,294.01666666666665,175.01333333333332,185.11,330.0,230.04333333333332,241.04666666666665,243.01,187.00333333333333
lhr,5.923666666666667,92.185,249.04,95.85833333333333,112.28333333333333,142.0,11.557333333333332,175.0,161.05,0.03876,130.0,32.42366666666666,7.802533333333333,283.75666666666666,137.00333333333333,104.62,24.888666666666666,128.0,74.80266666666667,239.13,7.397666666666667,187.0,182.01,133.0,266.95666666666665,137.0,159.01,29.444333333333333,272.0,58.15,216.01,92.032,28.772333333333332
