dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,9.53,9.645233333333334,12.6,0.17830950308070762,0.059264214046822736,0.0,300,300
96.30.195.227,96.4,96.54866666666666,96.8,0.07186716140831376,0.062207357859529855,0.0,300,300
139.84.147.241,269.0,269.6933333333333,272.0,0.4891716354091771,0.391304347826087,0.0,300,300
64.177.11.74,97.1,97.19166666666666,97.7,0.07092640943651243,0.045819397993312284,0.0,300,300
149.28.251.220,112.0,112.02666666666667,119.0,0.40737642979872507,0.030100334448160536,0.0,300,300
139.84.167.11,197.0,197.00333333333333,198.0,0.057638721552635275,0.006688963210702341,0.0,300,300
45.76.89.14,9.74,9.885933333333334,10.1,0.050932591617636074,0.042909698996655574,0.0,300,300
208.72.154.232,175.0,175.08,190.0,0.9346657156438338,0.1605351170568562,0.0,300,300
139.84.250.145,165.0,165.99666666666667,166.0,0.057638721552635275,0.006688963210702341,0.0,300,300
104.238.184.201,7.16,7.288366666666667,8.73,0.09853086938732564,0.051672240802675594,0.0,300,300
45.77.86.141,128.0,129.56,130.0,0.8284926070883192,0.006688963210702341,0.0,300,300
208.85.20.117,22.8,22.907333333333334,23.1,0.05609119558560169,0.03879598662207362,0.0,300,300
64.176.187.52,14.2,14.315666666666667,15.3,0.07156271530777897,0.03645484949832774,0.0,300,300
139.84.205.58,285.0,285.02666666666664,293.0,0.4611097724210822,0.05351170568561873,0.0,300,300
64.177.83.211,135.0,135.0,135.0,0.0,0.0,0.0,300,300
207.246.112.207,106.0,106.78666666666666,108.0,0.4256237253203298,0.016722408026755852,0.0,300,300
66.245.203.195,17.1,17.129333333333335,17.3,0.04697043987682185,0.03076923076923016,0.0,300,300
65.20.73.224,166.0,166.00666666666666,167.0,0.08137703743822469,0.013377926421404682,0.0,300,300
149.28.225.185,72.0,72.15866666666666,77.3,0.3091249297973596,0.10434782608695876,0.0,300,300
64.176.34.191,221.0,221.05,232.0,0.6589132466923598,0.10033444816053512,0.0,300,300
95.179.210.16,0.017,0.04225,0.091,0.014851066179458857,0.014916387959866221,0.0,300,300
64.176.20.229,204.0,204.0,204.0,0.0,0.0,0.0,300,300
