dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,139.0,139.03666666666666,141.0,0.22058004342087603,0.07357859531772576,0.0,300,300
96.30.195.227,267.0,267.0366666666667,275.0,0.4919236616477082,0.07357859531772576,0.0,300,300
139.84.147.241,43.8,43.971,59.9,0.9259548225120562,0.11371237458194051,0.0,300,300
64.177.11.74,260.0,260.0,260.0,0.0,0.0,0.0,300,300
149.28.251.220,280.0,280.04333333333335,281.0,0.20360637405433935,0.07357859531772576,0.0,300,300
139.84.167.11,0.012,0.03964666666666666,0.107,0.017078694980068653,0.01805351170568562,0.0,300,300
45.76.89.14,152.0,152.0,152.0,0.0,0.0,0.0,300,300
208.72.154.232,314.0,314.35,315.0,0.47696960070847283,0.25752508361204013,0.0,300,300
139.84.250.145,302.0,302.00666666666666,303.0,0.08137703743822469,0.013377926421404682,0.0,300,300
104.238.184.201,142.0,142.00666666666666,144.0,0.11527744310527055,0.013377926421404682,0.0,300,300
45.77.86.141,243.0,273.1084745762712,293.0,19.164809630715276,11.884353741496598,1.6666666666666667,300,295
208.85.20.117,158.0,158.02333333333334,161.0,0.20685475312133605,0.046822742474916385,0.0,300,300
64.176.187.52,221.0,221.5,222.0,0.5,0.3712374581939799,0.0,300,300
139.84.205.58,212.0,212.01333333333332,214.0,0.16275407487644938,0.026755852842809364,0.0,300,300
64.177.83.211,301.0,301.00333333333333,302.0,0.057638721552635275,0.006688963210702341,0.0,300,300
207.246.112.207,278.0,278.01,280.0,0.12871156384205215,0.020066889632107024,0.0,300,300
66.245.203.195,148.0,148.00666666666666,150.0,0.11527744310527055,0.013377926421404682,0.0,300,300
65.20.73.224,28.1,28.245,34.1,0.34449238017697875,0.08729096989966571,0.0,300,300
149.28.225.185,275.0,275.0133333333333,277.0,0.14079141387961916,0.026755852842809364,0.0,300,300
64.176.34.191,159.0,159.50340136054422,172.0,0.8911824267911022,0.6416382252559727,2.0,300,294
95.179.210.16,197.0,197.00666666666666,198.0,0.08137703743822469,0.013377926421404682,0.0,300,300
64.176.20.229,326.0,326.8666666666667,328.0,0.3496029493900505,0.14381270903010032,0.0,300,300
