dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,116.0,116.01333333333334,117.0,0.11469767022723502,0.026755852842809364,0.0,300,300
96.30.195.227,16.0,16.128,16.5,0.07799145252312331,0.06655518394648795,0.0,300,300
139.84.147.241,293.0,293.0133333333333,294.0,0.11469767022723502,0.020066889632107024,0.0,300,300
64.177.11.74,21.7,21.842666666666666,22.5,0.07861014918924575,0.05785953177257475,0.0,300,300
149.28.251.220,0.018,0.03305333333333333,0.107,0.012023192402833598,0.010979933110367893,0.0,300,300
139.84.167.11,280.0,280.09,281.0,0.2861817604250837,0.13377926421404682,0.0,300,300
45.76.89.14,121.0,121.91,123.0,0.31921779399024736,0.06688963210702341,0.0,300,300
208.72.154.232,84.3,84.425,84.6,0.05605057240266575,0.03946488294314281,0.0,300,300
139.84.250.145,269.0,269.0366666666667,277.0,0.4919236616477082,0.07357859531772576,0.0,300,300
104.238.184.201,112.0,112.38666666666667,113.0,0.48698619647332464,0.36789297658862874,0.0,300,300
45.77.86.141,32.8,32.891999999999996,33.0,0.048332183894378974,0.034448160535117546,0.0,300,300
208.85.20.117,135.0,135.01333333333332,136.0,0.11469767022723502,0.026755852842809364,0.0,300,300
64.176.187.52,116.0,116.0,116.0,0.0,0.0,0.0,300,300
139.84.205.58,181.0,181.0,181.0,0.0,0.0,0.0,300,300
64.177.83.211,28.4,28.566333333333333,29.0,0.07234101341716369,0.054515050167224306,0.0,300,300
207.246.112.207,31.3,31.461666666666666,33.3,0.14842693675864785,0.08193979933110415,0.0,300,300
66.245.203.195,127.0,127.00666666666666,128.0,0.08137703743822469,0.013377926421404682,0.0,300,300
65.20.73.224,258.0,258.00333333333333,259.0,0.057638721552635275,0.006688963210702341,0.0,300,300
149.28.225.185,37.8,37.971333333333334,38.2,0.06200716804442046,0.06086956521739217,0.0,300,300
64.176.34.191,142.0,142.04,153.0,0.6364484791926732,0.0802675585284281,0.0,300,300
95.179.210.16,111.0,112.00666666666666,114.0,0.1412641340027806,0.026755852842809364,0.0,300,300
64.176.20.229,126.0,126.52666666666667,127.0,0.4992883824894075,0.2408026755852843,0.0,300,300
