dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,180.0,180.55,181.0,0.49749371855331,0.3210702341137124,0.0,300,300
96.30.195.227,98.6,98.85066666666667,106.0,0.4220974084523884,0.1123745819398005,0.0,300,300
139.84.147.241,306.0,306.02,309.0,0.198997487421324,0.04013377926421405,0.0,300,300
64.177.11.74,89.6,89.768,90.0,0.06615134163416408,0.0484949832775915,0.0,300,300
149.28.251.220,84.3,84.418,84.6,0.0523704751426463,0.044816053511704375,0.0,300,300
139.84.167.11,314.0,314.4533333333333,324.0,0.7491031674980126,0.4983277591973244,0.0,300,300
45.76.89.14,183.0,183.01,185.0,0.12871156384205215,0.020066889632107024,0.0,300,300
208.72.154.232,0.013,0.037553333333333334,0.125,0.015756707213825553,0.015364548494983277,0.0,300,300
139.84.250.145,338.0,338.0466666666667,339.0,0.210923893594085,0.08695652173913043,0.0,300,300
104.238.184.201,175.0,175.0,175.0,0.0,0.0,0.0,300,300
45.77.86.141,54.3,54.42,54.6,0.04966554808583851,0.0367892976588634,0.0,300,300
208.85.20.117,190.0,190.00333333333333,191.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.187.52,180.0,180.01,183.0,0.17291616465790582,0.020066889632107024,0.0,300,300
139.84.205.58,199.0,199.0,199.0,0.0,0.0,0.0,300,300
64.177.83.211,105.0,105.92333333333333,106.0,0.2660618140374317,0.13377926421404682,0.0,300,300
207.246.112.207,112.0,112.00333333333333,113.0,0.057638721552635275,0.006688963210702341,0.0,300,300
66.245.203.195,192.0,192.0,192.0,0.0,0.0,0.0,300,300
65.20.73.224,287.0,287.05333333333334,301.0,0.810651315644128,0.10702341137123746,0.0,300,300
149.28.225.185,106.0,106.0,106.0,0.0,0.0,0.0,300,300
64.176.34.191,154.0,154.11666666666667,183.0,1.6959920073186927,0.23411371237458195,0.0,300,300
95.179.210.16,175.0,175.1,189.0,0.834665601703261,0.1939799331103679,0.0,300,300
64.176.20.229,189.0,189.0,189.0,0.0,0.0,0.0,300,300
