dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,166.0,166.00666666666666,167.0,0.08137703743822469,0.013377926421404682,0.0,300,300
96.30.195.227,247.0,247.0,247.0,0.0,0.0,0.0,300,300
139.84.147.241,294.0,294.96,302.0,0.47441191665752525,0.1605351170568562,0.0,300,300
64.177.11.74,246.0,246.00333333333333,247.0,0.057638721552635275,0.006688963210702341,0.0,300,300
149.28.251.220,269.0,269.03,277.0,0.4645069070171795,0.06020066889632107,0.0,300,300
139.84.167.11,302.0,302.00333333333333,303.0,0.057638721552635275,0.006688963210702341,0.0,300,300
45.76.89.14,171.0,171.52,172.0,0.49959983987187184,0.3979933110367893,0.0,300,300
208.72.154.232,338.0,338.11,345.0,0.4877499359302879,0.20735785953177258,0.0,300,300
139.84.250.145,0.011,0.04181,0.1,0.01782939239944349,0.016481605351170568,0.0,300,300
104.238.184.201,161.0,161.0,161.0,0.0,0.0,0.0,300,300
45.77.86.141,309.0,309.03,318.0,0.5187484939737175,0.06020066889632107,0.0,300,300
208.85.20.117,181.0,181.0,181.0,0.0,0.0,0.0,300,300
64.176.187.52,165.0,165.0,165.0,0.0,0.0,0.0,300,300
139.84.205.58,341.0,341.0,341.0,0.0,0.0,0.0,300,300
64.177.83.211,289.0,289.05333333333334,297.0,0.48698619647332464,0.10702341137123746,0.0,300,300
207.246.112.207,258.0,258.01666666666665,260.0,0.15184055965240498,0.033444816053511704,0.0,300,300
66.245.203.195,185.0,185.03666666666666,190.0,0.31935699286048036,0.07357859531772576,0.0,300,300
65.20.73.224,281.0,281.0233333333333,288.0,0.4034710508684469,0.046822742474916385,0.0,300,300
149.28.225.185,227.0,227.00666666666666,229.0,0.11527744310527055,0.013377926421404682,0.0,300,300
64.176.34.191,245.0,245.05,254.0,0.5361902647381804,0.09364548494983277,0.0,300,300
95.179.210.16,166.0,166.01666666666668,171.0,0.2881936077631764,0.033444816053511704,0.0,300,300
64.176.20.229,350.0,350.0,350.0,0.0,0.0,0.0,300,300
