dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,133.0,133.57,134.0,0.49507575177946256,0.3311036789297659,0.0,300,300
96.30.195.227,48.3,48.384,48.6,0.06332982446420313,0.05351170568561949,0.0,300,300
139.84.147.241,206.0,235.68027210884352,257.0,19.495503194940007,12.16382252559727,2.0,300,294
64.177.11.74,54.0,54.132333333333335,54.3,0.04954347137167134,0.03545150501672287,0.0,300,300
149.28.251.220,32.8,32.901666666666664,36.8,0.2485234171841538,0.07826086956521798,0.0,300,300
139.84.167.11,242.0,272.57679180887374,295.0,19.494947466926565,12.20890410958904,2.3333333333333335,300,293
45.76.89.14,138.0,138.14715719063545,139.0,0.3542625465382036,0.2214765100671141,0.3333333333333333,300,299
208.72.154.232,54.3,54.42,54.6,0.050990195135928576,0.03612040133779316,0.0,300,300
139.84.250.145,309.0,309.0,309.0,0.0,0.0,0.0,300,300
104.238.184.201,130.0,130.0,130.0,0.0,0.0,0.0,300,300
45.77.86.141,0.016,0.034293333333333335,0.094,0.013700630966816415,0.011759197324414716,0.0,300,300
208.85.20.117,165.0,165.01003344481606,166.0,0.09966330719566113,0.020134228187919462,0.3333333333333333,300,299
64.176.187.52,157.0,157.0,157.0,0.0,0.0,0.0,300,300
139.84.205.58,150.0,150.03,159.0,0.5187484939737175,0.06020066889632107,0.0,300,300
64.177.83.211,53.2,53.28133333333333,53.5,0.05987394165151197,0.04481605351170418,0.0,300,300
207.246.112.207,62.0,62.08963210702341,62.6,0.07030415364191761,0.057718120805369755,0.3333333333333333,300,299
66.245.203.195,162.0,162.0,162.0,0.0,0.0,0.0,300,300
65.20.73.224,220.0,262.1694915254237,284.0,19.95244561907466,12.299319727891156,1.6666666666666667,300,295
149.28.225.185,58.0,58.14,58.3,0.06429100507328651,0.05016722408026766,0.0,300,300
64.176.34.191,105.0,105.03333333333333,115.0,0.5763872155263527,0.06688963210702341,0.0,300,300
95.179.210.16,130.0,130.00333333333333,131.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.20.229,137.0,137.09333333333333,138.0,0.29089898972361905,0.12374581939799331,0.0,300,300
