dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,5.83,5.923666666666667,6.17,0.04564963185929203,0.04311036789297658,0.0,300,300
96.30.195.227,91.8,92.185,92.8,0.31729323976410073,0.06421404682274144,0.0,300,300
139.84.147.241,249.0,249.04,260.0,0.6364484791926732,0.0802675585284281,0.0,300,300
64.177.11.74,95.7,95.85833333333333,96.5,0.08773381458834793,0.06588628762542093,0.0,300,300
149.28.251.220,112.0,112.28333333333333,113.0,0.4506168611531925,0.36454849498327757,0.0,300,300
139.84.167.11,142.0,142.0,142.0,0.0,0.0,0.0,300,300
45.76.89.14,11.4,11.557333333333332,12.0,0.06413180871368644,0.049832775919732286,0.0,300,300
208.72.154.232,175.0,175.0,175.0,0.0,0.0,0.0,300,300
139.84.250.145,161.0,161.05,176.0,0.8645808232895291,0.10033444816053512,0.0,300,300
104.238.184.201,0.019,0.03876,0.122,0.016403731282851473,0.01614715719063545,0.0,300,300
45.77.86.141,130.0,130.0,130.0,0.0,0.0,0.0,300,300
208.85.20.117,32.3,32.42366666666666,32.8,0.06382180052476051,0.049832775919733105,0.0,300,300
64.176.187.52,7.69,7.802533333333333,8.13,0.05591883006247139,0.05117056856187289,0.0,300,300
139.84.205.58,283.0,283.75666666666666,284.0,0.42909465415246345,0.2842809364548495,0.0,300,300
64.177.83.211,137.0,137.00333333333333,138.0,0.057638721552635275,0.006688963210702341,0.0,300,300
207.246.112.207,104.0,104.62,106.0,0.4922059189675259,0.35451505016722407,0.0,300,300
66.245.203.195,24.7,24.888666666666666,25.0,0.050380772346423755,0.038461538461538096,0.0,300,300
65.20.73.224,128.0,128.0,128.0,0.0,0.0,0.0,300,300
149.28.225.185,74.6,74.80266666666667,75.0,0.06923069325731925,0.06488294314381382,0.0,300,300
64.176.34.191,239.0,239.13,240.0,0.33630343441600474,0.1939799331103679,0.0,300,300
95.179.210.16,7.24,7.397666666666667,7.7,0.06674745105412062,0.055050167224080314,0.0,300,300
64.176.20.229,187.0,187.0,187.0,0.0,0.0,0.0,300,300
