dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,31.5,31.650333333333332,31.9,0.05972064597403021,0.04448160535116986,0.0,300,300
96.30.195.227,117.0,117.66333333333333,118.0,0.47256980671877696,0.38461538461538464,0.0,300,300
139.84.147.241,152.0,152.99333333333334,154.0,0.11527744310527055,0.026755852842809364,0.0,300,300
64.177.11.74,117.0,117.0,117.0,0.0,0.0,0.0,300,300
149.28.251.220,135.0,135.02,136.0,0.14,0.033444816053511704,0.0,300,300
139.84.167.11,158.0,158.00666666666666,159.0,0.08137703743822469,0.013377926421404682,0.0,300,300
45.76.89.14,32.7,32.840333333333334,33.5,0.07169301841106249,0.05652173913043516,0.0,300,300
208.72.154.232,190.0,190.01333333333332,194.0,0.2305548862105411,0.026755852842809364,0.0,300,300
139.84.250.145,181.0,181.0,181.0,0.0,0.0,0.0,300,300
104.238.184.201,32.3,32.396,33.0,0.06819579654690434,0.05819397993311115,0.0,300,300
45.77.86.141,165.0,165.00333333333333,166.0,0.057638721552635275,0.006688963210702341,0.0,300,300
208.85.20.117,0.026,0.06075,0.155,0.02002433935655972,0.019735785953177258,0.0,300,300
64.176.187.52,38.0,38.162333333333336,38.5,0.0649196084057472,0.048829431438127215,0.0,300,300
139.84.205.58,287.0,287.00333333333333,288.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.177.83.211,159.0,159.0,159.0,0.0,0.0,0.0,300,300
207.246.112.207,129.0,129.02,130.0,0.14,0.04013377926421405,0.0,300,300
66.245.203.195,21.2,21.311666666666667,21.4,0.04038013813195183,0.026755852842808986,0.0,300,300
65.20.73.224,130.0,130.32,131.0,0.466476151587624,0.3377926421404682,0.0,300,300
149.28.225.185,91.2,91.32766666666667,91.7,0.07789665518421908,0.06053511705685745,0.0,300,300
64.176.34.191,225.0,225.87,249.0,1.3975335416368366,0.40468227424749165,0.0,300,300
95.179.210.16,22.8,22.958666666666666,23.6,0.0731998785669917,0.05618729096990035,0.0,300,300
64.176.20.229,217.0,217.19666666666666,218.0,0.3974781615244904,0.28762541806020064,0.0,300,300
