dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,23.7,23.751666666666665,23.9,0.05505048188304634,0.04414715719063589,0.0,300,300
96.30.195.227,112.0,112.0,112.0,0.0,0.0,0.0,300,300
139.84.147.241,144.0,144.03666666666666,153.0,0.5247115609763351,0.07357859531772576,0.0,300,300
64.177.11.74,116.0,116.0,116.0,0.0,0.0,0.0,300,300
149.28.251.220,127.0,127.03,131.0,0.28711205710198473,0.06020066889632107,0.0,300,300
139.84.167.11,148.0,148.0,148.0,0.0,0.0,0.0,300,300
45.76.89.14,9.79,9.8882,10.1,0.04817426698975297,0.04441471571906354,0.0,300,300
208.72.154.232,192.0,192.0,192.0,0.0,0.0,0.0,300,300
139.84.250.145,185.0,185.02,186.0,0.14,0.04013377926421405,0.0,300,300
104.238.184.201,24.7,24.806,24.9,0.04930179171862452,0.03612040133779249,0.0,300,300
45.77.86.141,162.0,162.0,162.0,0.0,0.0,0.0,300,300
208.85.20.117,21.2,21.244,21.4,0.05030573194643663,0.034113712374582404,0.0,300,300
64.176.187.52,30.2,30.246666666666666,30.4,0.05055250296034435,0.04749163879598727,0.0,300,300
139.84.205.58,289.0,289.05,294.0,0.4092676385936225,0.10033444816053512,0.0,300,300
64.177.83.211,149.0,149.0,149.0,0.0,0.0,0.0,300,300
207.246.112.207,120.0,120.05333333333333,121.0,0.2246973272847029,0.09364548494983277,0.0,300,300
66.245.203.195,0.01,0.013303333333333334,0.048,0.003696573488455972,0.0024816053511705688,0.0,300,300
65.20.73.224,123.0,123.0,123.0,0.0,0.0,0.0,300,300
149.28.225.185,92.9,92.94466666666666,93.1,0.056019837756118726,0.043812709030097846,0.0,300,300
64.176.34.191,217.0,217.96333333333334,220.0,0.2863370197667233,0.11371237458193979,0.0,300,300
95.179.210.16,17.0,17.126333333333335,17.3,0.0572120810862719,0.03979933110367848,0.0,300,300
64.176.20.229,225.0,225.0,225.0,0.0,0.0,0.0,300,300
