dst,min,avg,max,stddev,jitter,loss_pct,sent,received
199.247.28.70,104.0,105.99,107.0,0.17291616465790582,0.013377926421404682,0.0,300,300
96.30.195.227,34.2,34.40933333333333,34.7,0.08070247139269691,0.06220735785953261,0.0,300,300
139.84.147.241,286.0,329.3993288590604,376.0,16.50192991212657,6.552188552188552,0.6666666666666666,300,298
64.177.11.74,0.02,0.043916666666666666,0.11,0.017771598752566474,0.015491638795986622,0.0,300,300
149.28.251.220,21.7,21.837,22.1,0.06974477280293673,0.0501672240802672,0.0,300,300
139.84.167.11,260.0,260.0,260.0,0.0,0.0,0.0,300,300
45.76.89.14,102.0,102.02,103.0,0.14,0.04013377926421405,0.0,300,300
208.72.154.232,89.6,89.78233333333333,94.7,0.29129805278366605,0.08595317725752358,0.0,300,300
139.84.250.145,246.0,246.00333333333333,247.0,0.057638721552635275,0.006688963210702341,0.0,300,300
104.238.184.201,95.7,95.86966666666667,96.4,0.078612269327944,0.06187290969899889,0.0,300,300
45.77.86.141,54.0,54.145,54.3,0.05664215155988832,0.0494983277591976,0.0,300,300
208.85.20.117,117.0,117.00333333333333,118.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.187.52,92.5,92.587,92.8,0.0582895073462337,0.047491638795986106,0.0,300,300
139.84.205.58,208.0,208.0,208.0,0.0,0.0,0.0,300,300
64.177.83.211,46.6,46.70766666666667,46.9,0.06714081388312691,0.051839464882942006,0.0,300,300
207.246.112.207,50.9,51.004666666666665,51.7,0.10760214785134356,0.0725752508361212,0.0,300,300
66.245.203.195,116.0,116.0,116.0,0.0,0.0,0.0,300,300
65.20.73.224,232.0,232.99333333333334,233.0,0.08137703743822469,0.013377926421404682,0.0,300,300
149.28.225.185,18.4,18.573666666666668,22.6,0.24208790873473135,0.08829431438127132,0.0,300,300
64.176.34.191,159.0,159.12666666666667,185.0,1.5739405607864894,0.25418060200668896,0.0,300,300
95.179.210.16,97.1,97.24066666666667,97.4,0.06120639037079444,0.04548494983277495,0.0,300,300
64.176.20.229,129.0,129.87333333333333,130.0,0.33259919155377127,0.1705685618729097,0.0,300,300
