dst,min,avg,max,stddev,jitter,loss_pct,sent,received
136.244.98.103,137.0,137.29,147.0,1.1339753083731585,0.42474916387959866,0.0,300,300
45.76.249.212,269.0,269.0536912751678,275.0,0.3892038836885363,0.10101010101010101,0.6666666666666666,300,298
139.84.218.107,46.8,47.06430976430976,49.9,0.33364472072695533,0.1378378378378386,1.0,300,297
64.177.9.219,259.0,259.0566666666667,261.0,0.27102685393804715,0.11371237458193979,0.0,300,300
216.128.141.61,282.0,282.0233333333333,283.0,0.15095989165632337,0.046822742474916385,0.0,300,300
139.84.172.156,0.013,0.03773,0.077,0.013668592953677908,0.015404682274247492,0.0,300,300
140.82.39.86,154.0,154.00333333333333,155.0,0.057638721552635275,0.006688963210702341,0.0,300,300
208.83.236.254,314.0,314.89666666666665,318.0,0.36421910377622363,0.1939799331103679,0.0,300,300
139.84.234.101,299.0,299.93,302.0,0.2917190429162964,0.1605351170568562,0.0,300,300
108.61.173.57,148.0,149.26333333333332,153.0,1.647418856541617,0.17391304347826086,0.0,300,300
149.28.93.145,262.0,292.6137931034483,313.0,18.99008314953253,12.211072664359861,3.3333333333333335,300,290
216.238.113.165,291.0,292.12333333333333,295.0,1.4633712979129923,0.033444816053511704,0.0,300,300
66.42.79.251,258.0,258.0,258.0,0.0,0.0,0.0,300,300
141.164.42.234,150.0,150.02333333333334,151.0,0.15095989165632337,0.046822742474916385,0.0,300,300
45.63.94.6,259.0,259.00333333333333,260.0,0.057638721552635275,0.006688963210702341,0.0,300,300
207.148.69.17,68.5,68.71133333333333,69.9,0.10895666824731641,0.07658862876254277,0.0,300,300
70.34.195.183,208.0,208.00333333333333,209.0,0.057638721552635275,0.006688963210702341,0.0,300,300
149.28.177.115,287.0,318.61245674740485,338.0,19.305645332784326,11.6875,3.6666666666666665,300,289
64.177.65.203,256.0,257.24,267.0,1.209297316626478,0.5150501672240803,0.0,300,300
45.76.208.229,142.0,142.01666666666668,145.0,0.19075871903765995,0.033444816053511704,0.0,300,300
216.128.180.213,275.0,275.04,282.0,0.4301937547973781,0.0802675585284281,0.0,300,300
64.176.71.158,217.0,217.0,217.0,0.0,0.0,0.0,300,300
