dst,min,avg,max,stddev,jitter,loss_pct,sent,received
136.244.98.103,6.56,6.701366666666667,7.46,0.09705564841310826,0.0634782608695652,0.0,300,300
45.76.249.212,103.0,103.03367003367003,106.0,0.22964838929265904,0.06418918918918919,1.0,300,297
139.84.218.107,258.0,258.02,261.0,0.21509687739868905,0.04013377926421405,0.0,300,300
64.177.9.219,106.0,106.03,109.0,0.22158519806160337,0.06020066889632107,0.0,300,300
216.128.141.61,122.0,122.01333333333334,125.0,0.18208667044996885,0.026755852842809364,0.0,300,300
139.84.172.156,154.0,154.03,161.0,0.4112177038990418,0.06020066889632107,0.0,300,300
140.82.39.86,0.015,0.04025666666666667,0.158,0.018796917891564624,0.016153846153846154,0.0,300,300
208.83.236.254,183.0,183.00333333333333,184.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.234.101,171.0,171.77666666666667,175.0,0.4762235702785918,0.34782608695652173,0.0,300,300
108.61.173.57,12.6,12.695666666666666,13.0,0.06012117393693825,0.04515050167224098,0.0,300,300
149.28.93.145,139.0,139.31333333333333,140.0,0.46384863431463885,0.3411371237458194,0.0,300,300
216.238.113.165,192.0,192.03,194.0,0.18912077270005712,0.05351170568561873,0.0,300,300
66.42.79.251,146.0,146.0,146.0,0.0,0.0,0.0,300,300
141.164.42.234,282.0,282.02666666666664,284.0,0.18061622912192088,0.05351170568561873,0.0,300,300
45.63.94.6,145.0,145.00333333333333,146.0,0.057638721552635275,0.006688963210702341,0.0,300,300
207.148.69.17,157.0,157.0,157.0,0.0,0.0,0.0,300,300
70.34.195.183,17.8,17.945,19.4,0.12168949557514563,0.08862876254180649,0.0,300,300
149.28.177.115,282.0,282.99666666666667,284.0,0.09994442900376634,0.020066889632107024,0.0,300,300
64.177.65.203,53.0,53.49933333333333,74.6,1.7035256251537734,0.5782608695652163,0.0,300,300
45.76.208.229,252.0,252.94333333333333,256.0,0.3057050139522667,0.08695652173913043,0.0,300,300
216.128.180.213,102.0,102.00333333333333,103.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.71.158,17.9,18.040666666666667,18.4,0.06281896387415416,0.047157190635451984,0.0,300,300
