dst,min,avg,max,stddev,jitter,loss_pct,sent,received
136.244.98.103,166.0,166.33666666666667,175.0,0.7767381941312158,0.3879598662207358,0.0,300,300
45.76.249.212,247.0,247.13758389261744,255.0,0.7886762769398268,0.2558922558922559,0.6666666666666666,300,298
139.84.218.107,295.0,295.02,296.0,0.14,0.04013377926421405,0.0,300,300
64.177.9.219,246.0,246.05666666666667,257.0,0.7211949959769703,0.09364548494983277,0.0,300,300
216.128.141.61,269.0,269.03333333333336,276.0,0.4149966532662911,0.06688963210702341,0.0,300,300
139.84.172.156,299.0,299.9633333333333,300.0,0.18794207145347266,0.06020066889632107,0.0,300,300
140.82.39.86,171.0,171.86666666666667,183.0,0.9498537899183338,0.45484949832775917,0.0,300,300
208.83.236.254,338.0,338.11333333333334,339.0,0.3169998247458331,0.1705685618729097,0.0,300,300
139.84.234.101,0.014,0.04951333333333333,0.181,0.01832984330417354,0.018919732441471573,0.0,300,300
108.61.173.57,160.0,160.0,160.0,0.0,0.0,0.0,300,300
149.28.93.145,310.0,310.00333333333333,311.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.238.113.165,336.0,336.7266666666667,341.0,0.6207164319468986,0.43478260869565216,0.0,300,300
66.42.79.251,317.0,317.00666666666666,318.0,0.08137703743822469,0.013377926421404682,0.0,300,300
141.164.42.234,258.0,258.19,268.0,0.8409716602438713,0.34782608695652173,0.0,300,300
45.63.94.6,294.0,294.01666666666665,295.0,0.12801909579781012,0.033444816053511704,0.0,300,300
207.148.69.17,175.0,175.01333333333332,178.0,0.18208667044996885,0.026755852842809364,0.0,300,300
70.34.195.183,185.0,185.11,198.0,0.7860661549767933,0.20735785953177258,0.0,300,300
149.28.177.115,330.0,330.0,330.0,0.0,0.0,0.0,300,300
64.177.65.203,230.0,230.04333333333332,233.0,0.27347557274624895,0.0802675585284281,0.0,300,300
45.76.208.229,241.0,241.04666666666665,253.0,0.6960523607379612,0.09364548494983277,0.0,300,300
216.128.180.213,243.0,243.01,244.0,0.099498743710662,0.016722408026755852,0.0,300,300
64.176.71.158,186.0,187.00333333333333,189.0,0.12905640455070627,0.020066889632107024,0.0,300,300
