dst,min,avg,max,stddev,jitter,loss_pct,sent,received
136.244.98.103,7.1,7.223166666666667,7.51,0.06598211037007595,0.0506354515050167,0.0,300,300
45.76.249.212,93.6,93.72433333333333,94.9,0.2101774382648051,0.13545150501672465,0.0,300,300
139.84.218.107,239.0,239.01666666666668,242.0,0.19075871903765995,0.033444816053511704,0.0,300,300
64.177.9.219,94.9,95.19433333333333,95.7,0.1329206112267352,0.05250836120401272,0.0,300,300
216.128.141.61,112.0,112.01666666666667,116.0,0.23746344747958345,0.033444816053511704,0.0,300,300
139.84.172.156,148.0,149.09666666666666,152.0,1.534271452152092,0.11705685618729098,0.0,300,300
140.82.39.86,12.6,12.709698996655518,15.3,0.16420348854749484,0.06275167785234914,0.3333333333333333,300,299
208.83.236.254,174.0,174.00333333333333,175.0,0.057638721552635275,0.006688963210702341,0.0,300,300
139.84.234.101,160.0,160.02666666666667,167.0,0.40737642979872507,0.046822742474916385,0.0,300,300
108.61.173.57,0.019,0.03708,0.128,0.016643324988314886,0.016491638795986623,0.0,300,300
149.28.93.145,129.0,129.0,129.0,0.0,0.0,0.0,300,300
216.238.113.165,182.0,182.01,183.0,0.099498743710662,0.020066889632107024,0.0,300,300
66.42.79.251,133.0,133.0,133.0,0.0,0.0,0.0,300,300
141.164.42.234,266.0,266.95666666666665,272.0,0.38486649922047284,0.14046822742474915,0.0,300,300
45.63.94.6,137.0,137.0,137.0,0.0,0.0,0.0,300,300
207.148.69.17,159.0,159.01,160.0,0.099498743710662,0.020066889632107024,0.0,300,300
70.34.195.183,29.3,29.444333333333333,30.2,0.08367330650943759,0.06421404682274295,0.0,300,300
149.28.177.115,272.0,272.0,272.0,0.0,0.0,0.0,300,300
64.177.65.203,57.7,58.15,64.4,0.6533248298766349,0.3816053511705696,0.0,300,300
45.76.208.229,216.0,216.01,217.0,0.099498743710662,0.013377926421404682,0.0,300,300
216.128.180.213,91.9,92.032,99.5,0.4678062276911951,0.13110367892976338,0.0,300,300
64.176.71.158,28.6,28.772333333333332,29.0,0.06929085237044089,0.05384615384615385,0.0,300,300
