dst,min,avg,max,stddev,jitter,loss_pct,sent,received
136.244.98.103,275.0,275.2866666666667,276.0,0.4522044768563099,0.0033444816053511705,0.0,300,300
45.76.249.212,191.0,191.05084745762713,192.0,0.21968612536975798,0.09183673469387756,1.6666666666666667,300,295
139.84.218.107,239.0,269.7854671280277,290.0,19.181585294265137,12.416666666666666,3.6666666666666665,300,289
64.177.9.219,197.0,197.0,197.0,0.0,0.0,0.0,300,300
216.128.141.61,167.0,167.01666666666668,168.0,0.12801909579781012,0.033444816053511704,0.0,300,300
139.84.172.156,287.0,317.8664383561644,338.0,19.158655461579635,12.305841924398626,2.6666666666666665,300,292
140.82.39.86,282.0,282.84,284.0,0.37558842722675395,0.25752508361204013,0.0,300,300
208.83.236.254,192.0,192.0,192.0,0.0,0.0,0.0,300,300
139.84.234.101,330.0,330.00666666666666,331.0,0.08137703743822469,0.013377926421404682,0.0,300,300
108.61.173.57,272.0,272.0,272.0,0.0,0.0,0.0,300,300
149.28.93.145,138.0,138.02666666666667,139.0,0.16110727964792762,0.05351170568561873,0.0,300,300
216.238.113.165,315.0,315.0,315.0,0.0,0.0,0.0,300,300
66.42.79.251,168.0,168.99666666666667,169.0,0.057638721552635275,0.006688963210702341,0.0,300,300
141.164.42.234,148.0,148.05333333333334,149.0,0.2246973272847029,0.10702341137123746,0.0,300,300
45.63.94.6,151.0,151.85333333333332,154.0,0.38099285499278795,0.010033444816053512,0.0,300,300
207.148.69.17,136.0,136.0267558528428,138.0,0.18091141587021434,0.053691275167785234,0.3333333333333333,300,299
70.34.195.183,298.0,298.00333333333333,299.0,0.057638721552635275,0.006688963210702341,0.0,300,300
149.28.177.115,0.016,0.03306333333333333,0.128,0.015556327401485938,0.011812709030100335,0.0,300,300
64.177.65.203,349.0,349.31333333333333,355.0,0.7495480119526848,0.5050167224080268,0.0,300,300
45.76.208.229,106.0,106.00333333333333,107.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.128.180.213,205.0,205.04666666666665,210.0,0.33339999333466636,0.08695652173913043,0.0,300,300
64.176.71.158,296.0,296.00333333333333,297.0,0.057638721552635275,0.006688963210702341,0.0,300,300
