dst,min,avg,max,stddev,jitter,loss_pct,sent,received
136.244.98.103,20.4,20.609666666666666,27.4,0.5150468155636166,0.14682274247491647,0.0,300,300
45.76.249.212,117.0,118.01010101010101,119.0,0.1921848241458631,0.07432432432432433,1.0,300,297
139.84.218.107,191.0,191.04347826086956,194.0,0.30838224233399364,0.087248322147651,0.3333333333333333,300,299
64.177.9.219,119.0,119.01333333333334,120.0,0.11469767022723502,0.026755852842809364,0.0,300,300
216.128.141.61,140.0,140.06,143.0,0.3411744421846396,0.12040133779264214,0.0,300,300
139.84.172.156,217.0,217.0,217.0,0.0,0.0,0.0,300,300
140.82.39.86,17.8,17.964,18.2,0.06354001363970134,0.049163879598662835,0.0,300,300
208.83.236.254,197.0,197.01,198.0,0.099498743710662,0.020066889632107024,0.0,300,300
139.84.234.101,186.0,187.07,204.0,1.0157591578059568,0.16722408026755853,0.0,300,300
108.61.173.57,28.6,28.729666666666667,29.3,0.06845842209367362,0.05183946488294336,0.0,300,300
149.28.93.145,166.0,166.00333333333333,167.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.238.113.165,201.0,201.03333333333333,202.0,0.17950549357115014,0.06688963210702341,0.0,300,300
66.42.79.251,152.0,152.03666666666666,153.0,0.18794207145347266,0.06020066889632107,0.0,300,300
141.164.42.234,251.0,252.01,254.0,0.15242484486898233,0.033444816053511704,0.0,300,300
45.63.94.6,151.0,151.89666666666668,152.0,0.30439375084839626,0.14715719063545152,0.0,300,300
207.148.69.17,169.0,169.37,170.0,0.48280430818293246,0.3277591973244147,0.0,300,300
70.34.195.183,29.8,29.936,30.2,0.07282856582413294,0.060200668896321495,0.0,300,300
149.28.177.115,296.0,296.0,296.0,0.0,0.0,0.0,300,300
64.177.65.203,79.3,79.817,97.9,1.2402732225871316,0.492307692307693,0.0,300,300
45.76.208.229,258.0,275.5698924731183,290.0,8.026030030653642,8.309352517985612,7.0,300,279
216.128.180.213,113.0,113.00333333333333,114.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.71.158,0.011,0.04364333333333333,0.11,0.01807750320763966,0.015521739130434782,0.0,300,300
