dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,127.0,127.45333333333333,129.0,0.5044689176638031,0.41471571906354515,0.0,300,300
64.176.179.247,194.0,194.04666666666665,195.0,0.210923893594085,0.08361204013377926,0.0,300,300
67.219.107.218,177.0,177.00333333333333,178.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.238.88.98,297.0,297.1766666666667,298.0,0.38138635994953407,0.23411371237458195,0.0,300,300
144.202.38.228,256.0,256.0,256.0,0.0,0.0,0.0,300,300
66.245.207.49,125.0,125.01666666666667,128.0,0.20749832663314555,0.033444816053511704,0.0,300,300
65.20.67.71,0.011,0.030183333333333333,0.084,0.013144189675374524,0.011260869565217392,0.0,300,300
108.61.70.152,293.0,293.0,293.0,0.0,0.0,0.0,300,300
64.176.39.98,130.0,130.58862876254182,133.0,0.6131265829046683,0.5805369127516778,0.3333333333333333,300,299
104.238.188.120,166.0,166.01333333333332,167.0,0.11469767022723502,0.026755852842809364,0.0,300,300
64.176.15.159,301.0,301.0,301.0,0.0,0.0,0.0,300,300
216.238.116.204,267.0,267.0,267.0,0.0,0.0,0.0,300,300
137.220.36.31,238.0,238.36666666666667,239.0,0.4818944098266987,0.2842809364548495,0.0,300,300
158.247.230.77,120.0,120.01666666666667,121.0,0.12801909579781012,0.033444816053511704,0.0,300,300
45.63.91.123,236.0,236.0,236.0,0.0,0.0,0.0,300,300
139.180.136.43,64.9,85.91266666666667,1563.0,147.70856770305807,10.072909698996655,0.0,300,300
70.34.223.205,181.0,181.00666666666666,182.0,0.08137703743822469,0.013377926421404682,0.0,300,300
207.148.84.152,254.0,285.2237288135593,305.0,18.62122298394988,11.789115646258503,1.6666666666666667,300,295
64.177.69.241,231.0,231.12333333333333,237.0,0.6176208833544697,0.2408026755852843,0.0,300,300
45.32.43.236,133.0,133.16387959866222,142.0,0.7649729478364434,0.30201342281879195,0.3333333333333333,300,299
149.248.62.229,257.0,257.01666666666665,259.0,0.17240134054647668,0.026755852842809364,0.0,300,300
64.176.67.189,188.0,188.0,188.0,0.0,0.0,0.0,300,300
