dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,91.4,91.50533333333334,92.4,0.09113116310510086,0.06956521739130173,0.0,300,300
64.176.179.247,76.0,76.09566666666666,76.3,0.06122000399288575,0.057190635451505614,0.0,300,300
67.219.107.218,200.0,200.88666666666666,201.0,0.3169998247458331,0.17725752508361203,0.0,300,300
216.238.88.98,64.5,64.68066666666667,65.2,0.08846593820348332,0.06086956521739255,0.0,300,300
144.202.38.228,32.6,32.769666666666666,34.1,0.12641158526372742,0.06722408026755654,0.0,300,300
66.245.207.49,93.0,93.073,93.6,0.061408468471374655,0.04113712374581787,0.0,300,300
65.20.67.71,292.0,292.9866666666667,294.0,0.14079141387961916,0.033444816053511704,0.0,300,300
108.61.70.152,0.018,0.038933333333333334,0.135,0.01892253213029964,0.015535117056856187,0.0,300,300
64.176.39.98,174.0,174.03666666666666,175.0,0.18794207145347266,0.06354515050167224,0.0,300,300
104.238.188.120,72.0,72.15966666666667,79.0,0.4037407033673419,0.0966555183946507,0.0,300,300
64.176.15.159,128.0,128.0,128.0,0.0,0.0,0.0,300,300
216.238.116.204,108.0,108.01,110.0,0.12871156384205215,0.020066889632107024,0.0,300,300
137.220.36.31,57.2,57.35466666666667,57.7,0.06984427121978082,0.055518394648829884,0.0,300,300
158.247.230.77,188.0,188.04,191.0,0.24166091947189144,0.07357859531772576,0.0,300,300
45.63.91.123,67.1,67.22133333333333,70.1,0.18040202019070853,0.0732441471571909,0.0,300,300
139.180.136.43,223.0,245.77,1786.0,157.27639290963748,10.521739130434783,0.0,300,300
70.34.223.205,103.0,103.02,105.0,0.16206994374857625,0.04013377926421405,0.0,300,300
207.148.84.152,201.0,201.0,201.0,0.0,0.0,0.0,300,300
64.177.69.241,140.0,141.17,148.0,0.9134732252963593,0.4080267558528428,0.0,300,300
45.32.43.236,168.0,169.16,175.0,0.7490438349433675,0.3879598662207358,0.0,300,300
149.248.62.229,19.8,20.012333333333334,20.6,0.0898956184817833,0.07525083612040202,0.0,300,300
64.176.67.189,96.5,96.589,96.8,0.06617401302626284,0.055518394648829315,0.0,300,300
