dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,225.0,225.00333333333333,226.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.179.247,246.0,246.02333333333334,249.0,0.20685475312133605,0.046822742474916385,0.0,300,300
67.219.107.218,118.0,118.36666666666666,119.0,0.4818944098266987,0.3745819397993311,0.0,300,300
216.238.88.98,152.0,152.01,153.0,0.099498743710662,0.020066889632107024,0.0,300,300
144.202.38.228,169.0,169.01333333333332,172.0,0.18208667044996885,0.026755852842809364,0.0,300,300
66.245.207.49,224.0,224.97333333333333,225.0,0.16110727964792762,0.046822742474916385,0.0,300,300
65.20.67.71,130.0,130.68,133.0,0.6144916598294886,0.5752508361204013,0.0,300,300
108.61.70.152,174.0,174.04666666666665,176.0,0.22617593938249833,0.08361204013377926,0.0,300,300
64.176.39.98,0.013,0.04613333333333333,0.107,0.013531280632503176,0.014063545150501672,0.0,300,300
104.238.188.120,221.0,221.04666666666665,224.0,0.2667499869832341,0.07357859531772576,0.0,300,300
64.176.15.159,266.0,266.01,267.0,0.099498743710662,0.020066889632107024,0.0,300,300
216.238.116.204,291.0,291.63666666666666,343.0,3.5690319260114345,1.1304347826086956,0.0,300,300
137.220.36.31,99.6,99.71833333333333,100.0,0.07547994582816205,0.053511705685618825,0.0,300,300
158.247.230.77,39.2,39.40033333333333,40.7,0.16862153546395675,0.12675585284281,0.0,300,300
45.63.91.123,113.0,113.03333333333333,118.0,0.334995854037363,0.06688963210702341,0.0,300,300
139.180.136.43,75.5,99.88,1676.0,161.47937556645843,11.442140468227427,0.0,300,300
70.34.223.205,258.0,258.04,260.0,0.22744962812309308,0.07357859531772576,0.0,300,300
207.148.84.152,136.0,136.07333333333332,139.0,0.29657301892713633,0.13377926421404682,0.0,300,300
64.177.69.241,250.0,250.23,258.0,0.9952051714763812,0.4414715719063545,0.0,300,300
45.32.43.236,7.87,7.9974,8.51,0.07999524985897598,0.06190635451505009,0.0,300,300
149.248.62.229,185.0,185.06666666666666,194.0,0.5557777333511023,0.13377926421404682,0.0,300,300
64.176.67.189,255.0,255.01666666666668,257.0,0.15184055965240498,0.033444816053511704,0.0,300,300
