dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,37.9,38.041333333333334,39.0,0.0880807710128738,0.06421404682274315,0.0,300,300
64.176.179.247,0.01,0.02318,0.064,0.010345092234162696,0.00877257525083612,0.0,300,300
67.219.107.218,274.0,274.00333333333333,275.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.238.88.98,138.0,138.44,140.0,0.5030573194643595,0.4080267558528428,0.0,300,300
144.202.38.228,117.0,117.17,118.0,0.37563279941985894,0.27424749163879597,0.0,300,300
66.245.207.49,30.3,30.356666666666666,30.7,0.05647024782032381,0.04749163879598577,0.0,300,300
65.20.67.71,194.0,194.07,195.0,0.2551470164434615,0.10702341137123746,0.0,300,300
108.61.70.152,76.0,76.107,76.8,0.08073206715219665,0.06555183946488369,0.0,300,300
64.176.39.98,246.0,246.00333333333333,247.0,0.057638721552635275,0.006688963210702341,0.0,300,300
104.238.188.120,14.5,14.663,15.1,0.07116412954103596,0.04481605351170576,0.0,300,300
64.176.15.159,213.0,213.0,213.0,0.0,0.0,0.0,300,300
216.238.116.204,181.0,181.27666666666667,191.0,0.9165818142545826,0.4180602006688963,0.0,300,300
137.220.36.31,163.0,163.01666666666668,164.0,0.12801909579781012,0.033444816053511704,0.0,300,300
158.247.230.77,254.0,254.01333333333332,255.0,0.11469767022723502,0.026755852842809364,0.0,300,300
45.63.91.123,134.0,134.0,134.0,0.0,0.0,0.0,300,300
139.180.136.43,163.0,186.82333333333332,1775.0,163.0918109191534,10.836120401337793,0.0,300,300
70.34.223.205,36.2,36.28033333333333,36.9,0.0811165142796991,0.05785953177257377,0.0,300,300
207.148.84.152,262.0,262.0,262.0,0.0,0.0,0.0,300,300
64.177.69.241,64.0,64.33566666666667,70.8,0.5397171069695267,0.28227424749163943,0.0,300,300
45.32.43.236,270.0,287.45487364620936,300.0,7.81664564706373,8.31159420289855,7.666666666666667,300,277
149.248.62.229,102.0,102.27,107.0,0.5135821907608038,0.36789297658862874,0.0,300,300
64.176.67.189,33.6,33.75233333333333,34.0,0.06704144655028904,0.039130434782607235,0.0,300,300
