dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,287.0,287.02,291.0,0.24413111231467405,0.04013377926421405,0.0,300,300
64.176.179.247,274.0,274.0233333333333,281.0,0.4034710508684469,0.046822742474916385,0.0,300,300
67.219.107.218,0.011,0.03466,0.132,0.01427717525749871,0.013919732441471572,0.0,300,300
216.238.88.98,216.0,216.26666666666668,217.0,0.4422166387140533,0.27424749163879597,0.0,300,300
144.202.38.228,214.0,214.0,214.0,0.0,0.0,0.0,300,300
66.245.207.49,289.0,289.0,289.0,0.0,0.0,0.0,300,300
65.20.67.71,177.0,177.00333333333333,178.0,0.057638721552635275,0.006688963210702341,0.0,300,300
108.61.70.152,200.0,200.78333333333333,208.0,0.5969831562857438,0.38127090301003347,0.0,300,300
64.176.39.98,118.0,118.36666666666666,128.0,0.7295356209413096,0.4682274247491639,0.0,300,300
104.238.188.120,282.0,282.0,282.0,0.0,0.0,0.0,300,300
64.176.15.159,300.0,300.76666666666665,301.0,0.4229525846816507,0.33444816053511706,0.0,300,300
216.238.116.204,321.0,321.04,324.0,0.24166091947189144,0.07357859531772576,0.0,300,300
137.220.36.31,178.0,178.90333333333334,179.0,0.29550333707459586,0.16722408026755853,0.0,300,300
158.247.230.77,156.0,156.8,157.0,0.4,0.26755852842809363,0.0,300,300
45.63.91.123,163.0,163.0,163.0,0.0,0.0,0.0,300,300
139.180.136.43,183.0,204.74333333333334,1714.0,151.8078526368851,10.414715719063546,0.0,300,300
70.34.223.205,309.0,309.01,311.0,0.12871156384205215,0.020066889632107024,0.0,300,300
207.148.84.152,11.1,11.225999999999999,11.8,0.06775445864787594,0.04983277591973286,0.0,300,300
64.177.69.241,344.0,345.16,359.0,1.24942653512188,0.46153846153846156,0.0,300,300
45.32.43.236,117.0,118.00666666666666,122.0,0.29431653406192154,0.07357859531772576,0.0,300,300
149.248.62.229,216.0,216.04,222.0,0.38087618285561864,0.07357859531772576,0.0,300,300
64.176.67.189,294.0,294.0,294.0,0.0,0.0,0.0,300,300
