dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,155.0,155.00666666666666,156.0,0.08137703743822469,0.013377926421404682,0.0,300,300
64.176.179.247,138.0,138.29,140.0,0.4610495273467555,0.3177257525083612,0.0,300,300
67.219.107.218,216.0,216.2,217.0,0.4,0.2909698996655518,0.0,300,300
216.238.88.98,0.014,0.047696666666666665,0.878,0.05097827631016525,0.022642140468227424,0.0,300,300
144.202.38.228,83.8,83.91,92.9,0.5326975376953297,0.12441471571906589,0.0,300,300
66.245.207.49,155.0,155.0,155.0,0.0,0.0,0.0,300,300
65.20.67.71,297.0,297.13666666666666,310.0,0.8029044498292157,0.21739130434782608,0.0,300,300
108.61.70.152,64.6,64.67366666666666,67.5,0.2107286301278401,0.08528428093645765,0.0,300,300
64.176.39.98,152.0,152.00333333333333,153.0,0.057638721552635275,0.006688963210702341,0.0,300,300
104.238.188.120,136.0,136.0,136.0,0.0,0.0,0.0,300,300
64.176.15.159,148.0,148.0,148.0,0.0,0.0,0.0,300,300
216.238.116.204,173.0,173.01333333333332,176.0,0.18208667044996885,0.026755852842809364,0.0,300,300
137.220.36.31,68.4,68.55633333333333,68.8,0.06678239954425615,0.050836120401336136,0.0,300,300
158.247.230.77,176.0,176.04333333333332,187.0,0.6388444428984432,0.08695652173913043,0.0,300,300
45.63.91.123,48.2,48.3,49.5,0.09695359714832573,0.05250836120401253,0.0,300,300
139.180.136.43,209.0,232.14,1789.0,159.26066808851456,10.66220735785953,0.0,300,300
70.34.223.205,165.0,165.96333333333334,166.0,0.18794207145347266,0.06020066889632107,0.0,300,300
207.148.84.152,197.0,197.0,197.0,0.0,0.0,0.0,300,300
64.177.69.241,184.0,184.85333333333332,193.0,0.8898439313847245,0.6287625418060201,0.0,300,300
45.32.43.236,158.0,158.97666666666666,159.0,0.15095989165632337,0.033444816053511704,0.0,300,300
149.248.62.229,61.1,61.29033333333333,63.3,0.16494409827440104,0.07859531772575094,0.0,300,300
64.176.67.189,156.0,156.01666666666668,157.0,0.12801909579781012,0.033444816053511704,0.0,300,300
