dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,21.1,21.27466666666667,23.2,0.1312436241837634,0.07090301003344517,0.0,300,300
64.176.179.247,30.3,30.347666666666665,30.4,0.04994552588125836,0.04080267558528341,0.0,300,300
67.219.107.218,289.0,289.0,289.0,0.0,0.0,0.0,300,300
216.238.88.98,155.0,155.0,155.0,0.0,0.0,0.0,300,300
144.202.38.228,119.0,119.0,119.0,0.0,0.0,0.0,300,300
66.245.207.49,0.01,0.01367,0.053,0.00409728772075707,0.0029698996655518396,0.0,300,300
65.20.67.71,125.0,125.00666666666666,127.0,0.11527744310527055,0.013377926421404682,0.0,300,300
108.61.70.152,93.0,93.063,93.4,0.0687822651560696,0.048829431438125646,0.0,300,300
64.176.39.98,224.0,224.97666666666666,225.0,0.15095989165632337,0.046822742474916385,0.0,300,300
104.238.188.120,17.2,17.28,17.5,0.06582805886043841,0.047491638795986654,0.0,300,300
64.176.15.159,223.0,223.02,224.0,0.14,0.04013377926421405,0.0,300,300
216.238.116.204,221.0,221.20666666666668,225.0,0.4516143881183986,0.27759197324414714,0.0,300,300
137.220.36.31,150.0,150.00333333333333,151.0,0.057638721552635275,0.006688963210702341,0.0,300,300
158.247.230.77,265.0,265.04333333333335,267.0,0.24790231050870734,0.06688963210702341,0.0,300,300
45.63.91.123,146.0,146.0,146.0,0.0,0.0,0.0,300,300
139.180.136.43,145.0,168.49,1733.0,159.96029684476915,10.959866220735785,0.0,300,300
70.34.223.205,31.7,31.821666666666665,32.8,0.0801907448247956,0.05016722408026708,0.0,300,300
207.148.84.152,277.0,277.0,277.0,0.0,0.0,0.0,300,300
64.177.69.241,46.5,46.941,56.6,1.107197212183388,0.5177257525083597,0.0,300,300
45.32.43.236,230.0,258.86446886446885,285.0,13.163940277097657,11.522058823529411,9.0,300,273
149.248.62.229,110.0,110.0,110.0,0.0,0.0,0.0,300,300
64.176.67.189,26.4,26.525666666666666,26.7,0.04591175109804618,0.03143812709030143,0.0,300,300
