dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,243.0,261.1870503597122,275.0,8.172658704022083,8.00361010830325,7.333333333333333,300,278
64.176.179.247,270.0,287.3639846743295,301.0,8.104778746424898,8.742307692307692,13.0,300,261
67.219.107.218,117.0,117.90333333333334,118.0,0.29550333707459586,0.16722408026755853,0.0,300,300
216.238.88.98,158.0,158.95666666666668,159.0,0.20360637405433935,0.07357859531772576,0.0,300,300
144.202.38.228,161.0,161.00333333333333,162.0,0.057638721552635275,0.006688963210702341,0.0,300,300
66.245.207.49,230.0,260.51263537906135,285.0,12.580026254495754,9.81159420289855,7.666666666666667,300,277
65.20.67.71,133.0,133.05333333333334,136.0,0.28952067667477954,0.10702341137123746,0.0,300,300
108.61.70.152,168.0,168.99666666666667,172.0,0.37857921525385174,0.20735785953177258,0.0,300,300
64.176.39.98,7.81,7.9655,11.8,0.24183758323855845,0.09729096989966556,0.0,300,300
104.238.188.120,220.0,223.09333333333333,225.0,1.550684436699557,0.13377926421404682,0.0,300,300
64.176.15.159,255.0,255.00333333333333,256.0,0.057638721552635275,0.006688963210702341,0.0,300,300
216.238.116.204,270.0,270.00666666666666,272.0,0.11527744310527055,0.013377926421404682,0.0,300,300
137.220.36.31,93.0,93.15333333333334,93.4,0.07086763875156685,0.04983277591973384,0.0,300,300
158.247.230.77,31.3,31.502666666666666,34.6,0.22904051073021045,0.10735785953177301,0.0,300,300
45.63.91.123,101.0,101.0,101.0,0.0,0.0,0.0,300,300
139.180.136.43,64.8,88.20933333333333,1656.0,160.26709387630248,10.702341137123742,0.0,300,300
70.34.223.205,267.0,267.0,267.0,0.0,0.0,0.0,300,300
207.148.84.152,106.0,106.0,106.0,0.0,0.0,0.0,300,300
64.177.69.241,282.0,282.4266666666667,295.0,1.0853366093316652,0.6287625418060201,0.0,300,300
45.32.43.236,0.019,0.04525,0.118,0.017566658760276525,0.016444816053511706,0.0,300,300
149.248.62.229,143.0,143.15,146.0,0.44064346888007616,0.2408026755852843,0.0,300,300
64.176.67.189,258.0,286.6937269372694,311.0,13.057010860239167,11.34074074074074,9.666666666666666,300,271
