dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,205.0,205.07333333333332,225.0,1.1552585088291807,0.14715719063545152,0.0,300,300
64.176.179.247,181.0,181.12333333333333,185.0,0.39343219096673937,0.20735785953177258,0.0,300,300
67.219.107.218,321.0,321.0366666666667,325.0,0.2744489428331292,0.06688963210702341,0.0,300,300
216.238.88.98,173.0,173.05,186.0,0.7533259586659682,0.10033444816053512,0.0,300,300
144.202.38.228,111.0,111.02333333333333,118.0,0.4034710508684469,0.046822742474916385,0.0,300,300
66.245.207.49,221.0,221.17666666666668,222.0,0.38138635994953407,0.25418060200668896,0.0,300,300
65.20.67.71,267.0,267.0233333333333,271.0,0.25057711166203683,0.046822742474916385,0.0,300,300
108.61.70.152,108.0,108.00333333333333,109.0,0.057638721552635275,0.006688963210702341,0.0,300,300
64.176.39.98,291.0,291.3466666666667,304.0,1.3063264863306143,0.5551839464882943,0.0,300,300
104.238.188.120,182.0,182.74333333333334,183.0,0.43679387460092534,0.2842809364548495,0.0,300,300
64.176.15.159,48.1,48.195,49.2,0.08760707733967553,0.05652173913043392,0.0,300,300
216.238.116.204,0.013,0.05284,0.167,0.023784891563063026,0.023521739130434784,0.0,300,300
137.220.36.31,172.0,173.02,206.0,1.9286264542414635,0.35451505016722407,0.0,300,300
158.247.230.77,316.0,316.06333333333333,323.0,0.5092369018661376,0.12709030100334448,0.0,300,300
45.63.91.123,174.0,174.03,176.0,0.205993527406405,0.06020066889632107,0.0,300,300
139.180.136.43,356.0,392.4560810810811,1877.0,150.14796113597654,19.447457627118645,1.3333333333333333,300,296
70.34.223.205,211.0,211.12333333333333,224.0,1.0991461332426287,0.24749163879598662,0.0,300,300
207.148.84.152,316.0,316.9033333333333,317.0,0.29550333707459586,0.11371237458193979,0.0,300,300
64.177.69.241,245.0,245.36666666666667,261.0,1.3707256796634726,0.6622073578595318,0.0,300,300
45.32.43.236,270.0,270.06666666666666,282.0,0.7586537784494028,0.13377926421404682,0.0,300,300
149.248.62.229,130.0,130.11333333333334,132.0,0.35658877654176885,0.17725752508361203,0.0,300,300
64.176.67.189,205.0,205.01,206.0,0.099498743710662,0.020066889632107024,0.0,300,300
