dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,152.0,157.32333333333332,1745.0,91.8178928943349,10.675585284280936,0.0,300,300
64.176.179.247,163.0,168.36333333333334,1764.0,92.27840839305561,10.755852842809364,0.0,300,300
67.219.107.218,183.0,188.53,1816.0,94.12068015762175,11.066889632107024,0.0,300,300
216.238.88.98,209.0,214.20333333333335,1762.0,89.51194699902106,10.42809364548495,0.0,300,300
144.202.38.228,223.0,229.24579124579125,1745.0,88.10483228623376,11.155405405405405,1.0,300,297
66.245.207.49,145.0,150.78,1776.0,93.99034489421418,11.351170568561873,0.0,300,300
65.20.67.71,64.9,65.01533333333333,66.7,0.14340463342893972,0.0702341137123725,0.0,300,300
108.61.70.152,222.0,228.15333333333334,1766.0,88.93617461728132,10.34448160535117,0.0,300,300
64.176.39.98,75.5,82.05405405405405,1741.0,96.59791830781077,12.10271186440678,1.3333333333333333,300,296
104.238.188.120,162.0,167.52666666666667,1795.0,94.11965410523399,11.043478260869565,0.0,300,300
64.176.15.159,316.0,345.28627450980395,1825.0,92.88065506939927,13.003937007874017,15.0,300,255
216.238.116.204,356.0,381.20962199312714,1958.0,123.51287497837673,20.689655172413794,3.0,300,291
137.220.36.31,166.0,171.3,1741.0,90.78081662260297,10.555183946488294,0.0,300,300
158.247.230.77,107.0,113.14333333333333,1720.0,92.92797993906655,11.043478260869565,0.0,300,300
45.63.91.123,174.0,179.54666666666665,1836.0,95.79523903734581,11.117056856187292,0.0,300,300
139.180.136.43,0.021,0.048626666666666665,0.151,0.016939124993799282,0.016150501672240802,0.0,300,300
70.34.223.205,185.0,187.72,846.0,38.072845966646625,4.538461538461538,0.0,300,300
207.148.84.152,135.0,137.19,761.0,36.07714742973267,4.344481605351171,0.0,300,300
64.177.69.241,221.0,223.06,731.0,29.452725963256214,4.080267558528428,0.0,300,300
45.32.43.236,64.8,65.04466666666667,66.4,0.1788991025379629,0.11237458193979741,0.0,300,300
149.248.62.229,211.0,213.01,720.0,29.343765379832675,3.8862876254180603,0.0,300,300
64.176.67.189,179.0,180.93333333333334,738.0,32.21917993300816,3.8729096989966556,0.0,300,300
