dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,55.0,55.19233333333334,55.5,0.079840813845773,0.07424749163879504,0.0,300,300
64.176.179.247,36.1,36.208,36.4,0.05356615847093378,0.041471571906353394,0.0,300,300
67.219.107.218,309.0,309.00666666666666,311.0,0.11527744310527055,0.013377926421404682,0.0,300,300
216.238.88.98,165.0,165.73333333333332,166.0,0.4422166387140533,0.28762541806020064,0.0,300,300
144.202.38.228,129.0,129.39,132.0,0.5078385570237849,0.09364548494983277,0.0,300,300
66.245.207.49,31.7,31.828333333333333,32.0,0.053202965665040486,0.04080267558528367,0.0,300,300
65.20.67.71,181.0,181.00333333333333,182.0,0.057638721552635275,0.006688963210702341,0.0,300,300
108.61.70.152,103.0,103.00666666666666,104.0,0.08137703743822469,0.013377926421404682,0.0,300,300
64.176.39.98,258.0,258.09,281.0,1.3298746808126947,0.1806020066889632,0.0,300,300
104.238.188.120,26.2,26.297333333333334,27.9,0.1221729193488565,0.06688963210702346,0.0,300,300
64.176.15.159,211.0,211.99333333333334,213.0,0.11527744310527055,0.026755852842809364,0.0,300,300
216.238.116.204,211.0,211.02333333333334,214.0,0.25057711166203683,0.046822742474916385,0.0,300,300
137.220.36.31,158.0,158.06,169.0,0.7232334800509906,0.12040133779264214,0.0,300,300
158.247.230.77,306.0,306.03,308.0,0.205993527406405,0.05351170568561873,0.0,300,300
45.63.91.123,163.0,163.0,163.0,0.0,0.0,0.0,300,300
139.180.136.43,186.0,207.9,1721.0,152.93869142023328,10.301003344481606,0.0,300,300
70.34.223.205,0.011,0.04226333333333333,0.297,0.0289933438721526,0.022397993311036788,0.0,300,300
207.148.84.152,296.0,297.00333333333333,300.0,0.19145640641032505,0.026755852842809364,0.0,300,300
64.177.69.241,74.7,75.152,85.0,1.1124579392798029,0.5187290969899658,0.0,300,300
45.32.43.236,267.0,267.00666666666666,269.0,0.11527744310527055,0.013377926421404682,0.0,300,300
149.248.62.229,117.0,117.73666666666666,158.0,3.186532423950663,0.8127090301003345,0.0,300,300
64.176.67.189,29.8,29.886333333333333,30.1,0.06255575291068095,0.05183946488294276,0.0,300,300
