dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,275.0,275.17845117845116,276.0,0.382892093625037,0.2668918918918919,1.0,300,297
64.176.179.247,262.0,262.0,262.0,0.0,0.0,0.0,300,300
67.219.107.218,11.1,11.198666666666666,11.4,0.06530611678004543,0.0491638795986624,0.0,300,300
216.238.88.98,197.0,197.00333333333333,198.0,0.057638721552635275,0.006688963210702341,0.0,300,300
144.202.38.228,205.0,205.0,205.0,0.0,0.0,0.0,300,300
66.245.207.49,277.0,277.0838926174497,278.0,0.27722670540030714,0.1414141414141414,0.6666666666666666,300,298
65.20.67.71,254.0,283.80546075085323,305.0,19.203767340754027,11.681506849315069,2.3333333333333335,300,293
108.61.70.152,201.0,201.00666666666666,203.0,0.11527744310527055,0.013377926421404682,0.0,300,300
64.176.39.98,136.0,136.03,137.0,0.1705872210923198,0.046822742474916385,0.0,300,300
104.238.188.120,272.0,272.0,272.0,0.0,0.0,0.0,300,300
64.176.15.159,323.0,323.0,323.0,0.0,0.0,0.0,300,300
216.238.116.204,315.0,315.92333333333335,318.0,0.8548619121758139,0.26421404682274247,0.0,300,300
137.220.36.31,168.0,168.0,168.0,0.0,0.0,0.0,300,300
158.247.230.77,146.0,148.0,149.0,0.4242640687119285,0.12709030100334448,0.0,300,300
45.63.91.123,152.0,152.0,152.0,0.0,0.0,0.0,300,300
139.180.136.43,135.0,155.57,1626.0,146.05197168588083,10.033444816053512,0.0,300,300
70.34.223.205,296.0,297.0,298.0,0.08164965809277261,0.013377926421404682,0.0,300,300
207.148.84.152,0.018,0.03445666666666667,0.125,0.020917332260326337,0.012441471571906355,0.0,300,300
64.177.69.241,350.0,350.25333333333333,369.0,1.32003366960426,0.5016722408026756,0.0,300,300
45.32.43.236,106.0,106.0,106.0,0.0,0.0,0.0,300,300
149.248.62.229,206.0,206.17333333333335,208.0,0.3872409528388695,0.20735785953177258,0.0,300,300
64.176.67.189,282.0,282.00333333333333,283.0,0.057638721552635275,0.006688963210702341,0.0,300,300
