dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,54.7,55.091,64.2,0.7999285384749485,0.385953177257526,0.0,300,300
64.176.179.247,63.9,64.391,74.5,1.0875748250120543,0.5050167224080284,0.0,300,300
67.219.107.218,344.0,345.06,359.0,1.2205463257629074,0.5351170568561873,0.0,300,300
216.238.88.98,184.0,185.04,205.0,2.119370975863672,0.9765886287625418,0.0,300,300
144.202.38.228,156.0,156.39,177.0,1.6241613220366997,0.7090301003344481,0.0,300,300
66.245.207.49,46.5,46.975,59.0,1.162156759363096,0.5367892976588614,0.0,300,300
65.20.67.71,230.0,231.16,243.0,0.8912911982062877,0.3210702341137124,0.0,300,300
108.61.70.152,140.0,141.05333333333334,176.0,2.200868515432538,0.8361204013377926,0.0,300,300
64.176.39.98,250.0,250.12,258.0,0.6155756113860695,0.22742474916387959,0.0,300,300
104.238.188.120,50.9,51.34866666666667,60.5,0.9653142263302427,0.49732441471571914,0.0,300,300
64.176.15.159,245.0,245.33666666666667,250.0,0.6137227024931989,0.5117056856187291,0.0,300,300
216.238.116.204,245.0,245.37666666666667,286.0,2.5089417866680144,0.6889632107023411,0.0,300,300
137.220.36.31,184.0,184.23,199.0,1.271652468247516,0.44816053511705684,0.0,300,300
158.247.230.77,308.0,308.29333333333335,336.0,2.0462866096636825,0.5819397993311036,0.0,300,300
45.63.91.123,206.0,206.45,223.0,1.6230116039839846,0.8160535117056856,0.0,300,300
139.180.136.43,221.0,243.00666666666666,1747.0,151.99258739235353,10.722408026755852,0.0,300,300
70.34.223.205,74.6,75.09633333333333,85.6,0.934961615373712,0.4535117056856183,0.0,300,300
207.148.84.152,350.0,350.2133333333333,368.0,1.1580827066991182,0.40468227424749165,0.0,300,300
64.177.69.241,0.013,0.04104666666666667,0.112,0.016249035526933762,0.015418060200668897,0.0,300,300
45.32.43.236,282.0,282.6433333333333,301.0,1.600871290544274,0.8929765886287625,0.0,300,300
149.248.62.229,155.0,155.76333333333332,173.0,1.2989696771758077,0.7558528428093646,0.0,300,300
64.176.67.189,79.1,79.58366666666667,87.0,0.7978094314364105,0.4632107023411374,0.0,300,300
