dst,min,avg,max,stddev,jitter,loss_pct,sent,received
65.20.104.16,106.0,106.02666666666667,108.0,0.19821424996424675,0.05351170568561873,0.0,300,300
64.176.179.247,102.0,102.09,106.0,0.36774085078127144,0.16722408026755853,0.0,300,300
67.219.107.218,216.0,216.01666666666668,218.0,0.15184055965240498,0.026755852842809364,0.0,300,300
216.238.88.98,61.1,61.26233333333333,63.2,0.15689026596814507,0.09197324414715528,0.0,300,300
144.202.38.228,61.6,61.687000000000005,63.6,0.19252099452613783,0.0899665551839461,0.0,300,300
66.245.207.49,110.0,110.03333333333333,114.0,0.2924988129130707,0.06688963210702341,0.0,300,300
65.20.67.71,257.0,257.05,268.0,0.6435578192102608,0.09364548494983277,0.0,300,300
108.61.70.152,19.8,19.998,23.7,0.32030610359467104,0.13712374581939854,0.0,300,300
64.176.39.98,185.0,185.01333333333332,186.0,0.11469767022723502,0.026755852842809364,0.0,300,300
104.238.188.120,91.2,91.37866666666666,94.3,0.20690953471398005,0.08996655518394812,0.0,300,300
64.176.15.159,140.0,140.01,142.0,0.12871156384205215,0.020066889632107024,0.0,300,300
216.238.116.204,130.0,130.11333333333334,132.0,0.33737549143679985,0.1806020066889632,0.0,300,300
137.220.36.31,51.9,52.096000000000004,53.5,0.11306635220082097,0.05886287625418106,0.0,300,300
158.247.230.77,170.0,170.02,171.0,0.14,0.04013377926421405,0.0,300,300
45.63.91.123,60.6,60.701,63.7,0.215017053587229,0.08996655518394629,0.0,300,300
139.180.136.43,211.0,233.10666666666665,1748.0,153.5910434309964,10.408026755852843,0.0,300,300
70.34.223.205,117.0,117.73666666666666,158.0,3.1145875418031768,0.8996655518394648,0.0,300,300
207.148.84.152,206.0,206.13666666666666,207.0,0.3434951075181259,0.19732441471571907,0.0,300,300
64.177.69.241,155.0,155.8,166.0,1.1547005383792515,0.6956521739130435,0.0,300,300
45.32.43.236,143.0,143.21333333333334,145.0,0.49107591628541053,0.31438127090301005,0.0,300,300
149.248.62.229,0.018,0.05001,0.229,0.01835964505829747,0.015816053511705685,0.0,300,300
64.176.67.189,105.0,105.01,107.0,0.12871156384205215,0.020066889632107024,0.0,300,300
