src,ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto
ams,0.010862876254180602,0.06086956521739445,0.12709030100334448,0.19732441471571907,0.07528428093645487,0.09364548494983277,0.033444816053511704,0.05217391304347881,0.05,0.3076923076923077,0.07357859531772576,0.18729096989966554,0.04013377926421405,0.25418060200668896,0.04461538461538463,0.04581939799331056,0.07826086956521729,0.12709030100334448,0.006688963210702341,0.22742474916387959,0.03411371237458181,0.056856187290969896,0.0,0.13377926421404682,0.006688963210702341,0.06020066889632107,0.013377926421404682,0.013377926421404682,0.11137123745819343,0.013377926421404682,0.4374581939799317,0.10501672240802642,0.1515050167224091
atl,0.07892976588628965,0.01625752508361204,0.033444816053511704,0.3879598662207358,0.08762541806020116,0.12709030100334448,0.06254180602006632,0.08729096989966567,0.04013377926421405,0.06354515050167404,0.2608695652173913,0.568561872909699,0.0,0.05117056856187364,0.06822742474916314,0.2140468227424749,0.04648829431438371,0.026755852842809364,0.05986622073578521,0.0869565217391302,0.0,0.05351170568561873,0.05785953177257602,0.040268456375838924,0.026755852842809364,0.14682274247491403,10.962068965517242,0.10202020202020122,0.026936026936026935,0.020066889632107024,0.391304347826087,0.0,0.08686868686868617
blr,0.06020066889632107,0.18729096989966554,0.017555183946488293,0.06822742474916342,0.27424749163879597,0.17658862876254255,0.06688963210702341,0.006688963210702341,0.0802675585284281,0.033444816053511704,0.15488215488215487,0.8160535117056856,0.046822742474916385,12.054794520547945,0.04013377926421405,0.09364548494983277,0.006688963210702341,0.1505016722408027,0.020066889632107024,0.1806020066889632,0.013377926421404682,0.15384615384615385,6.734006734006734,0.25752508361204013,0.16722408026755853,0.3779264214046823,0.19664429530201447,4.570945945945946,0.17391304347826086,11.854166666666666,0.5418060200668896,0.07357859531772576,0.3979933110367893
bom,0.33444816053511706,0.27759197324414714,0.05819397993310991,0.01679598662207358,0.0,0.0618729096989963,0.0,0.006688963210702341,0.0,0.006688963210702341,0.033444816053511704,0.33444816053511706,0.013377926421404682,12.315068493150685,0.006688963210702341,0.15719063545150502,0.006688963210702341,0.006688963210702341,0.033444816053511704,0.046822742474916385,0.0,0.30201342281879195,0.04013377926421405,0.0,0.33444816053511706,0.2842809364548495,10.072909698996655,0.0,0.013377926421404682,11.789115646258503,0.2408026755852843,0.0,0.026755852842809364
cdg,0.059264214046822736,0.062207357859529855,0.391304347826087,0.013377926421404682,0.014916387959866221,0.006688963210702341,0.030100334448160536,0.10434782608695876,0.042909698996655574,0.1605351170568562,0.2608695652173913,0.10033444816053512,0.006688963210702341,0.006688963210702341,0.051672240802675594,0.03879598662207362,0.03645484949832774,0.05351170568561873,0.0,0.016722408026755852,0.03076923076923016,0.34782608695652173,0.045819397993312284,0.4013377926421405,0.0,0.0802675585284281,10.45819397993311,0.006688963210702341,0.05986622073578551,0.0,0.4755852842809356,0.06053511705685563,0.05852842809364439
del,0.07357859531772576,0.07357859531772576,0.11371237458194051,0.08729096989966571,0.013377926421404682,0.01805351170568562,0.07357859531772576,0.026755852842809364,0.0,0.25752508361204013,0.046822742474916385,0.6416382252559727,0.013377926421404682,11.884353741496598,0.013377926421404682,0.046822742474916385,0.3712374581939799,0.026755852842809364,0.006688963210702341,0.020066889632107024,0.013377926421404682,0.033444816053511704,0.0,0.033444816053511704,0.14381270903010032,0.0,0.07658862876254277,0.006688963210702341,0.006688963210702341,11.6875,0.5150501672240803,0.0,0.0802675585284281
dfw,0.026755852842809364,0.06655518394648795,0.020066889632107024,0.006688963210702341,0.026755852842809364,0.13377926421404682,0.010979933110367893,0.06086956521739217,0.06688963210702341,0.03946488294314281,0.09364548494983277,0.0802675585284281,0.07357859531772576,0.034448160535117546,0.36789297658862874,0.026755852842809364,0.0,0.0,0.054515050167224306,0.08193979933110415,0.013377926421404682,0.013377926421404682,0.05785953177257475,0.006688963210702341,0.2408026755852843,0.07725752508361435,0.6323024054982818,0.07892976588628836,0.046822742474916385,0.006688963210702341,0.5953177257525084,0.0,0.129765886287625
ewr,0.06387959866220928,0.06588628762541839,0.06020066889632107,0.0,0.09598662207358098,0.0,0.05351170568561949,0.01499665551839465,0.05551839464883136,0.0,0.07357859531772576,0.10033444816053512,0.0,0.06454849498327798,0.057190635451506426,0.05685618729097033,0.04849498327759487,0.27424749163879597,0.04515050167224033,0.07993311036789302,0.0488294314381245,0.3879598662207358,0.05919732441471606,0.020066889632107024,0.006688963210702341,0.055518394648829884,10.521739130434783,0.0732441471571909,0.04013377926421405,0.0,0.4080267558528428,0.055518394648829315,0.07525083612040202
fra,0.05294314381270905,0.020066889632107024,0.020066889632107024,0.013377926421404682,0.05859531772575245,0.013377926421404682,0.07023411371237458,0.05618729096989799,0.011933110367892977,0.0,0.05351170568561873,0.5585284280936454,0.3745819397993311,0.25838926174496646,0.051505016722407856,0.05551839464883003,0.10133779264214075,0.006688963210702341,0.006688963210702341,0.23411371237458195,0.045886287625418055,0.08695652173913043,0.15384615384615385,0.05351170568561873,0.006688963210702341,0.0,0.0,0.006688963210702341,0.08862876254180649,0.020066889632107024,0.5782608695652163,0.047157190635451984,0.006688963210702341
hnl,0.3210702341137124,0.1123745819398005,0.04013377926421405,0.10702341137123746,0.1939799331103679,0.4983277591973244,0.044816053511704375,0.0,0.020066889632107024,0.015364548494983277,0.35785953177257523,0.23411371237458195,0.08695652173913043,0.0367892976588634,0.0,0.006688963210702341,0.020066889632107024,0.0,0.13377926421404682,0.006688963210702341,0.0,0.006688963210702341,0.0484949832775915,0.0,0.0,0.04448160535116852,0.15384615384615385,0.04648829431438193,0.0,0.0,0.43478260869565216,0.06688963210702341,0.033444816053511704
